"","predicate","adjective_intercept","verb_intercept","noun_intercept","adjective_response","verb_response","noun_response"
"1","anns",0.431623527905294,0.292504622708142,0.526601312722014,0.408,0.166,0.58
"2","bamn",0.47668305721167,0.455803847256811,0.427360608846634,0.592857142857143,0.44,0.372857142857143
"3","blef",0.485275219458844,0.36862337714566,0.506243674071105,0.64,0.278571428571429,0.557142857142857
"4","brame",0.437844674329325,0.46222534372427,0.4401346121544,0.435454545454545,0.468181818181818,0.396363636363636
"5","brirk",0.401178138053493,0.401676195231897,0.603303835896359,0.336666666666667,0.366666666666667,0.655
"6","broff",0.416650857451776,0.458671281940272,0.602861449856711,0.396153846153846,0.466153846153846,0.671538461538462
"7","ceched",0.41522977190044,0.627433896668004,0.288428650042739,0.417,0.737,0.184
"8","clou",0.4453331219471,0.435953907988103,0.466079530620001,0.467777777777778,0.41,0.475555555555556
"9","cref",0.493152862455788,0.456027508354526,0.381923966480988,0.668571428571429,0.452857142857143,0.321428571428571
"10","crooch",0.385457071681345,0.494243881891918,0.580185978342544,0.185,0.52,0.725
"11","cuint",0.454595370189936,0.475176694668364,0.606366148568705,0.547142857142857,0.508571428571429,0.701428571428571
"12","duilts",0.40633027884283,0.363862583991219,0.62628569695558,0.32375,0.2275,0.72625
"13","dwake",0.43108759508094,0.506709091281879,0.479615401018601,0.43625,0.55625,0.45875
"14","fict",0.448194537360339,0.470232835137131,0.487421059460907,0.420769230769231,0.462307692307692,0.488461538461538
"15","fonns",0.45228761072189,0.343038938301547,0.560581499722795,0.508571428571429,0.247142857142857,0.612857142857143
"16","fruith",0.465232326461022,0.423155838480212,0.450581494703586,0.506666666666667,0.418888888888889,0.414444444444444
"17","gelt",0.424729290887368,0.374190250540883,0.555005261128028,0.417333333333333,0.330666666666667,0.593333333333333
"18","ghoice",0.428391431350148,0.484317294333116,0.43883633063124,0.40375,0.47625,0.4
"19","glab",0.439295525568313,0.531399922101306,0.531319700247997,0.385,0.569,0.558
"20","grirped",0.426395754313141,0.640479433511577,0.344494446337672,0.431,0.778,0.3
"21","gwigs",0.409610638866948,0.456247798854129,0.548320379205377,0.331666666666667,0.436666666666667,0.5525
"22","hafs",0.438802580066061,0.44575948284392,0.451936143747716,0.437777777777778,0.464444444444444,0.41
"23","heaned",0.397817718787554,0.692975970131339,0.306702996387693,0.257142857142857,0.907142857142857,0.152857142857143
"24","irv",0.472406856199308,0.371378288884012,0.471311851660147,0.553333333333333,0.245,0.498333333333333
"25","jaund",0.548468579965295,0.355817624867875,0.394924080488411,0.778888888888889,0.268888888888889,0.34
"26","jite",0.416921082077953,0.525542058092614,0.436201686614258,0.36625,0.57,0.38125
"27","joids",0.408644264824031,0.369118223946471,0.617557700244145,0.3775,0.25625,0.7125
"28","juints",0.442237622719323,0.399611275788748,0.537481140494716,0.4225,0.325,0.57375
"29","kolch",0.474037908560411,0.409179772782805,0.444661193009067,0.534166666666667,0.369166666666667,0.430833333333333
"30","lann",0.399639788107627,0.359647263898858,0.57573494596736,0.362307692307692,0.306153846153846,0.626923076923077
"31","lised",0.418781694634139,0.6248553834044,0.331298890273708,0.35625,0.78625,0.21
"32","milbed",0.428561838846219,0.467115973735709,0.525908873350529,0.387,0.442,0.535
"33","muic",0.491075148538965,0.399717856973529,0.458334563191703,0.643333333333333,0.353333333333333,0.41
"34","niege",0.447585210010138,0.422653754172747,0.458441656596973,0.421111111111111,0.358888888888889,0.446666666666667
"35","olm",0.456684211787395,0.422859143405298,0.539529233206604,0.606,0.358,0.636
"36","phoys",0.425071904559108,0.452683627273662,0.50004739843819,0.392222222222222,0.452222222222222,0.513333333333333
"37","physs",0.415668281222576,0.473489850844583,0.539794960269614,0.364545454545455,0.483636363636364,0.559090909090909
"38","plach",0.428452533230481,0.353173139254937,0.630883103506212,0.427,0.283,0.71
"39","praife",0.426670408903618,0.382504172548365,0.54343953114433,0.452857142857143,0.297142857142857,0.637142857142857
"40","preathe",0.388387923091581,0.592754992153975,0.356601892445851,0.228571428571429,0.714285714285714,0.248571428571429
"41","rhould",0.480229122317636,0.441504945020013,0.39449073296917,0.565454545454545,0.434545454545455,0.363636363636364
"42","scorcs",0.394206633358159,0.429643272646304,0.540122223378171,0.29625,0.40375,0.57125
"43","scrib",0.428278963236199,0.545442846521034,0.446846504878869,0.41,0.62,0.41625
"44","slalps",0.390758890178118,0.519525350477113,0.480379030734542,0.164,0.648,0.458
"45","snurts",0.388449027570855,0.534129243589991,0.534346385573696,0.252,0.566,0.553
"46","spraived",0.45529977025464,0.523510745596178,0.353637888137409,0.5025,0.6075,0.1975
"47","spunes",0.406755660209811,0.453266734209512,0.568605004863853,0.293333333333333,0.415555555555556,0.601111111111111
"48","spyck",0.482678766489278,0.406216658740149,0.506336500622682,0.585,0.375,0.508
"49","squalf",0.454101751961126,0.564124817608131,0.335982090625067,0.545,0.677,0.293
"50","therv",0.514917411826791,0.460210721312752,0.38677698422687,0.696666666666667,0.451111111111111,0.337777777777778
"51","thomps",0.411566710753178,0.548712584889884,0.466430200110231,0.302,0.71,0.48
"52","toch",0.42088444328394,0.48333921345311,0.543668157756675,0.38,0.54,0.577142857142857
"53","trafes",0.439969690295693,0.490065382377726,0.38097373016919,0.492857142857143,0.542857142857143,0.272857142857143
"54","trunce",0.456647784202534,0.543780375519443,0.419744751031235,0.53125,0.63625,0.375
"55","twad",0.497504146296244,0.351057585484951,0.552368927731757,0.632222222222222,0.28,0.621111111111111
"56","twawls",0.461084548513158,0.424620933695561,0.516046225834009,0.52,0.336666666666667,0.545
"57","twell",0.43132044932763,0.580635868891973,0.383984570129316,0.356,0.754,0.284
"58","yafs",0.416558913086549,0.558576922914187,0.435549868095819,0.34,0.638571428571429,0.367142857142857
"59","yunt",0.40529097687356,0.451700692846425,0.592191879685823,0.31625,0.44875,0.6575
