workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	slide_number	predicate2	predicate1	correct	glabOrRofkyFirst	glabOrColorFirst	rofkyOrColorFirst
0	rofky	first	NA	NA	NA	NA	first	5	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	6	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	7	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	8	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	9	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	10	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	11	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	12	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	13	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	14	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	15	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	16	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	17	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	18	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	19	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	20	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	21	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	22	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	23	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	24	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	25	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	26	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	27	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	28	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	29	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	30	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	31	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	32	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	33	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	34	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	35	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	36	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	37	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	38	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	39	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	40	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	41	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	42	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	43	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	44	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	45	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	46	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	47	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	48	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	49	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	50	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	51	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	52	NA	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	the red glab rofky spaceship	NA	NA	54	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the green rofky spaceship 	NA	NA	55	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the green spaceship  	NA	NA	56	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	57	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	58	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the red rofky spaceship 	NA	NA	59	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	red rofky spaceship  	NA	NA	60	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue glab spaceship  	NA	NA	61	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	red spaceship   	NA	NA	62	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	green glab rofky spaceship 	NA	NA	63	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the glab red rofky spaceship	NA	NA	64	NA	NA	correct	Q_glab_rofky	R_glab_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the glab blue spaceship 	NA	NA	65	NA	NA	correct	Q_glab	R_glab_COLOR	S_COLOR
0	NA	NA	NA	NA	the green rofky spaceship 	NA	NA	66	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	67	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the glab rofky spaceship 	NA	NA	68	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	the glab blue spaceship 	NA	NA	69	NA	NA	correct	Q_glab	R_glab_COLOR	S_COLOR
0	NA	NA	NA	NA	red rofky spaceship  	NA	NA	70	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	glab green rofky  	NA	NA	71	NA	NA	correct	Q_glab_rofky	R_glab_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green glab   	NA	NA	72	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	glab green rofky  	NA	NA	73	NA	NA	correct	Q_glab_rofky	R_glab_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	glab green rofky spaceship 	NA	NA	74	NA	NA	correct	Q_glab_rofky	R_glab_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue rofky   	NA	NA	75	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	red rofky   	NA	NA	76	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green rofky   	NA	NA	77	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	glab rofky   	NA	NA	78	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	glab rofky   	NA	NA	79	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	blue rofky	NA	NA	81	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green spaceship	NA	NA	82	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	the rofky spaceship	NA	NA	83	NA	NA	correct	Q_rofky	R_	S_rofky
0	NA	NA	NA	NA	the red rofky	NA	NA	84	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	rofky	NA	NA	85	NA	NA	correct	Q_rofky	R_	S_rofky
0	NA	NA	NA	NA	glab rofky	NA	NA	86	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	glab rofky	NA	NA	87	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	glab rofky	NA	NA	88	NA	NA	correct	Q_glab_rofky	R_glab	S_rofky
0	NA	NA	NA	NA	green rofky	NA	NA	89	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	glab red rofky	NA	NA	90	NA	NA	correct	Q_glab_rofky	R_glab_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green rofky	NA	NA	91	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	glab blue	NA	NA	92	NA	NA	correct	Q_glab	R_glab_COLOR	S_COLOR
