workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	slide_number	predicate2	predicate1	correct	glabOrRofkyFirst	glabOrColorFirst	rofkyOrColorFirst
0	glab	second	NA	NA	NA	NA	second	5	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	6	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	7	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	8	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	second	9	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	10	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	11	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	12	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	13	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	14	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	15	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	16	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	17	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	18	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	19	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	20	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	21	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	22	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	23	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	24	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	25	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	26	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	27	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	28	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	29	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	30	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	31	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	32	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	33	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	34	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	35	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	36	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	37	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	38	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	39	NA	NA	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	40	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	41	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	42	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	43	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	first	44	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	45	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	46	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	47	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	48	NA	NA	NA	NA	NA	NA
0	rofky	first	NA	NA	NA	NA	first	49	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	50	NA	NA	NA	NA	NA	NA
0	rofky	second	NA	NA	NA	NA	second	51	NA	NA	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	52	NA	NA	NA	NA	NA	NA
0	NA	NA	NA	NA	the blue glab rofky spaceship	NA	NA	54	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the rofky spaceship  	NA	NA	55	NA	NA	correct	Q_rofky	R_	S_rofky
0	NA	NA	NA	NA	the green glab spaceship 	NA	NA	56	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	the blue spaceship  	NA	NA	57	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	the green glab spaceship 	NA	NA	58	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	the rofky spaceship  	NA	NA	59	NA	NA	correct	Q_rofky	R_	S_rofky
0	NA	NA	NA	NA	the blue rofky glab spaceship	NA	NA	60	NA	NA	correct	Q_rofky_glab	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the blue glab rofky spaceship	NA	NA	61	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the red spaceship  	NA	NA	62	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	the red rofky spaceship 	NA	NA	63	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the red glab rofky spaceship	NA	NA	64	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	65	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the green glab rofky spaceship	NA	NA	66	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the green glab spaceship 	NA	NA	67	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	the green rofky spaceship 	NA	NA	68	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the red rofky spaceship 	NA	NA	69	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the green rofky spaceship 	NA	NA	70	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the blue glab rofky spaceship	NA	NA	71	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	72	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the blue rofky spaceship 	NA	NA	73	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	the red glab spaceship 	NA	NA	74	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	the red glab rofky spaceship	NA	NA	75	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the blue glab rofky spaceship	NA	NA	76	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the red glab rofky spaceship	NA	NA	77	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the red glab rofky spaceship	NA	NA	78	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	the green glab rofky spaceship	NA	NA	79	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	green glab spaceship	NA	NA	81	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	green spaceship	NA	NA	82	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	green rofky spaceship	NA	NA	83	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue spaceship	NA	NA	84	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	red rofky spaceship	NA	NA	85	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue rofky spaceship	NA	NA	86	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue glab rofky spaceship	NA	NA	87	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	green glab rofky spaceship	NA	NA	88	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	red rofky spaceship	NA	NA	89	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue rofky spaceship	NA	NA	90	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green glab rofky spaceship	NA	NA	91	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	red spaceship	NA	NA	92	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	red glab rofky spaceship	NA	NA	93	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	red glab rofky spaceship	NA	NA	94	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	blue rofky spaceship	NA	NA	95	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green glab spaceship	NA	NA	96	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	red glab rofky spaceship	NA	NA	97	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	blue glab rofky spaceship	NA	NA	98	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	blue glab rofky spaceship	NA	NA	99	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	red glab spaceship	NA	NA	100	NA	NA	correct	Q_glab	R_COLOR_glab	S_COLOR
0	NA	NA	NA	NA	blue glab rofky spaceship	NA	NA	101	NA	NA	correct	Q_glab_rofky	R_COLOR_glab	S_COLOR_rofky
0	NA	NA	NA	NA	red spaceship	NA	NA	102	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	NA	NA	green rofky spaceship	NA	NA	103	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	blue rofky spaceship	NA	NA	104	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	red rofky spaceship	NA	NA	105	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green rofky spaceship	NA	NA	106	NA	NA	correct	Q_rofky	R_COLOR	S_COLOR_rofky
0	NA	NA	NA	NA	green spaceship	NA	NA	108	NA	NA	correct	Q_	R_COLOR	S_COLOR
0	NA	NA	green	I like ships that have the same color as I have, like this...	NA	1	NA	135	rofky	green	NA	NA	NA	NA
