"","predicate","X","adjective_intercept","verb_intercept","noun_intercept","adjective_response","verb_response","noun_response","(Intercept).x","containsSubjectiveAdjective.Centered.x","(Intercept).y","containsSubjectiveAdjective.Centered.y"
"1","anns",1,0.431623527905294,0.292504622708142,0.526601312722014,0.408,0.166,0.58,0.246265186044983,-0.00233702538713004,0.24626519140721,-0.00233702697278311
"2","bamn",2,0.47668305721167,0.455803847256811,0.427360608846634,0.592857142857143,0.44,0.372857142857143,NA,NA,NA,NA
"3","blef",3,0.485275219458844,0.36862337714566,0.506243674071105,0.64,0.278571428571429,0.557142857142857,0.247641319978091,-0.00297849480475071,0.24764132417007,-0.00297849588895099
"4","brame",4,0.437844674329325,0.46222534372427,0.4401346121544,0.435454545454545,0.468181818181818,0.396363636363636,0.252440410333726,-0.00521553701515969,0.252440410409628,-0.00521553633430327
"5","brirk",5,0.401178138053493,0.401676195231897,0.603303835896359,0.336666666666667,0.366666666666667,0.655,0.252560103244419,-0.00527133052469287,0.252560103025208,-0.00527132971010368
"6","broff",6,0.416650857451776,0.458671281940272,0.602861449856711,0.396153846153846,0.466153846153846,0.671538461538462,NA,NA,NA,NA
"7","ceched",7,0.41522977190044,0.627433896668004,0.288428650042739,0.417,0.737,0.184,0.247258575586288,-0.00280008279397111,0.247258580502676,-0.00280008420359634
"8","clou",8,0.4453331219471,0.435953907988103,0.466079530620001,0.467777777777778,0.41,0.475555555555556,0.249576671956626,-0.00388063744994984,0.249576675498991,-0.00388063829328554
"9","cref",9,0.493152862455788,0.456027508354526,0.381923966480988,0.668571428571429,0.452857142857143,0.321428571428571,0.255683065266081,-0.00672706428802139,0.255683060424879,-0.00672706141889578
"10","crooch",10,0.385457071681345,0.494243881891918,0.580185978342544,0.185,0.52,0.725,NA,NA,NA,NA
"11","cuint",11,0.454595370189936,0.475176694668364,0.606366148568705,0.547142857142857,0.508571428571429,0.701428571428571,NA,NA,NA,NA
"12","duilts",12,0.40633027884283,0.363862583991219,0.62628569695558,0.32375,0.2275,0.72625,NA,NA,NA,NA
"13","dwake",13,0.43108759508094,0.506709091281879,0.479615401018601,0.43625,0.55625,0.45875,NA,NA,NA,NA
"14","fict",14,0.448194537360339,0.470232835137131,0.487421059460907,0.420769230769231,0.462307692307692,0.488461538461538,NA,NA,NA,NA
"15","fonns",15,0.45228761072189,0.343038938301547,0.560581499722795,0.508571428571429,0.247142857142857,0.612857142857143,0.255615982234627,-0.0066957942843657,0.255615977128622,-0.00669579128965798
"16","fruith",16,0.465232326461022,0.423155838480212,0.450581494703586,0.506666666666667,0.418888888888889,0.414444444444444,0.211432613389035,0.013899788165881,0.211432646522224,0.0138997747499984
"17","gelt",17,0.424729290887368,0.374190250540883,0.555005261128028,0.417333333333333,0.330666666666667,0.593333333333333,NA,NA,NA,NA
"18","ghoice",18,0.428391431350148,0.484317294333116,0.43883633063124,0.40375,0.47625,0.4,0.258477953577223,-0.00802987016623573,0.258477944494685,-0.00802986540951169
"19","glab",19,0.439295525568313,0.531399922101306,0.531319700247997,0.385,0.569,0.558,NA,NA,NA,NA
"20","grirped",20,0.426395754313141,0.640479433511577,0.344494446337672,0.431,0.778,0.3,0.248884316041632,-0.00355790349586806,0.248884320281089,-0.00355790464199038
"21","gwigs",21,0.409610638866948,0.456247798854129,0.548320379205377,0.331666666666667,0.436666666666667,0.5525,NA,NA,NA,NA
"22","hafs",22,0.438802580066061,0.44575948284392,0.451936143747716,0.437777777777778,0.464444444444444,0.41,NA,NA,NA,NA
"23","heaned",23,0.397817718787554,0.692975970131339,0.306702996387693,0.257142857142857,0.907142857142857,0.152857142857143,0.341174494432469,-0.0465779363285631,0.341174421462333,-0.046577904438242
"24","irv",24,0.472406856199308,0.371378288884012,0.471311851660147,0.553333333333333,0.245,0.498333333333333,0.238511621069573,0.00127721207159528,0.238511632075304,0.00127720810345247
"25","jaund",25,0.548468579965295,0.355817624867875,0.394924080488411,0.778888888888889,0.268888888888889,0.34,0.256620848799218,-0.00716420157704759,0.256620844190314,-0.00716419884622421
"26","jite",26,0.416921082077953,0.525542058092614,0.436201686614258,0.36625,0.57,0.38125,0.248057298872442,-0.00317239870660352,0.248057302372821,-0.00317239948173451
"27","joids",27,0.408644264824031,0.369118223946471,0.617557700244145,0.3775,0.25625,0.7125,0.252762854410722,-0.00536584070966919,0.252762853870808,-0.00536583975207686
"28","juints",28,0.442237622719323,0.399611275788748,0.537481140494716,0.4225,0.325,0.57375,NA,NA,NA,NA
"29","kolch",29,0.474037908560411,0.409179772782805,0.444661193009067,0.534166666666667,0.369166666666667,0.430833333333333,0.247054168215144,-0.00270480058766105,0.247054173173429,-0.00270480201027331
"30","lann",30,0.399639788107627,0.359647263898858,0.57573494596736,0.362307692307692,0.306153846153846,0.626923076923077,NA,NA,NA,NA
"31","lised",31,0.418781694634139,0.6248553834044,0.331298890273708,0.35625,0.78625,0.21,NA,NA,NA,NA
"32","milbed",32,0.428561838846219,0.467115973735709,0.525908873350529,0.387,0.442,0.535,0.265107310364486,-0.0111200705713099,0.265107303878429,-0.0111200672371005
"33","muic",33,0.491075148538965,0.399717856973529,0.458334563191703,0.643333333333333,0.353333333333333,0.41,0.247444905254406,-0.00288693828152028,0.247444909800816,-0.00288693952464833
"34","niege",34,0.447585210010138,0.422653754172747,0.458441656596973,0.421111111111111,0.358888888888889,0.446666666666667,0.252626266851373,-0.00530217194891711,0.25262626651824,-0.00530217108334186
"35","olm",35,0.456684211787395,0.422859143405298,0.539529233206604,0.606,0.358,0.636,NA,NA,NA,NA
"36","phoys",36,0.425071904559108,0.452683627273662,0.50004739843819,0.392222222222222,0.452222222222222,0.513333333333333,NA,NA,NA,NA
"37","physs",37,0.415668281222576,0.473489850844583,0.539794960269614,0.364545454545455,0.483636363636364,0.559090909090909,NA,NA,NA,NA
"38","plach",38,0.428452533230481,0.353173139254937,0.630883103506212,0.427,0.283,0.71,NA,NA,NA,NA
"39","praife",39,0.426670408903618,0.382504172548365,0.54343953114433,0.452857142857143,0.297142857142857,0.637142857142857,0.248155028195479,-0.00321795413578451,0.248155032439492,-0.00321795526068233
