"","(Intercept)","containsSubjectiveAdjective.Centered","predicate"
"anns",0.275930195612607,0.0110562598912741,"anns"
"bamn",0.275930195612607,0.0260299749530647,"bamn"
"blef",0.275930195612607,0.0100846789704354,"blef"
"brame",0.275930195612607,0.00946111076557186,"brame"
"brirk",0.275930195612607,-0.00355972548491043,"brirk"
"broff",0.275930195612607,0.00575165818699656,"broff"
"ceched",0.275930195612607,0.0118923378140694,"ceched"
"clou",0.275930195612607,0.0186788180830939,"clou"
"cref",0.275930195612607,0.00778931005695808,"cref"
"crooch",0.275930195612607,0.0141407000467725,"crooch"
"duilts",0.275930195612607,0.0130942192416938,"duilts"
"dwake",0.275930195612607,0.0347485061127001,"dwake"
"fict",0.275930195612607,0.0115085086185204,"fict"
"fonns",0.275930195612607,0.0225708229675585,"fonns"
"fruith",0.275930195612607,0.0246107691012811,"fruith"
"gelt",0.275930195612607,0.0220884850877962,"gelt"
"ghoice",0.275930195612607,0.00424746229512283,"ghoice"
"glab",0.275930195612607,-0.020492552453408,"glab"
"grirped",0.275930195612607,0.0120546387472866,"grirped"
"gwigs",0.275930195612607,0.023291620080397,"gwigs"
"hafs",0.275930195612607,0.00245563881841715,"hafs"
"heaned",0.275930195612607,-0.0376339300725632,"heaned"
"irv",0.275930195612607,0.0106690629210778,"irv"
"jaund",0.275930195612607,-0.0108933550490567,"jaund"
"jite",0.275930195612607,0.0583525516083442,"jite"
"joids",0.275930195612607,0.00922765327348584,"joids"
"juints",0.275930195612607,0.0226736495094666,"juints"
"kolch",0.275930195612607,0.0124660795703587,"kolch"
"lann",0.275930195612607,0.00304818403365148,"lann"
"lised",0.275930195612607,0.00798609040415034,"lised"
"milbed",0.275930195612607,-0.0126540202488937,"milbed"
"muic",0.275930195612607,0.0182703976457423,"muic"
"niege",0.275930195612607,-0.012116159235452,"niege"
"olm",0.275930195612607,-0.0161339243950734,"olm"
"phoys",0.275930195612607,0.00991303528088533,"phoys"
"physs",0.275930195612607,0.0118566654361998,"physs"
"plach",0.275930195612607,0.0139886709147618,"plach"
"praife",0.275930195612607,0.0111441219284038,"praife"
"preathe",0.275930195612607,0.0102258665229472,"preathe"
"rhould",0.275930195612607,0.00621340010310181,"rhould"
"scorcs",0.275930195612607,0.0101773610992396,"scorcs"
"scrib",0.275930195612607,0.00183903155214697,"scrib"
"slalps",0.275930195612607,-0.0424588073471676,"slalps"
"snurts",0.275930195612607,0.0421097225682744,"snurts"
"spraived",0.275930195612607,0.0368570931671787,"spraived"
"spunes",0.275930195612607,0.0130644612004619,"spunes"
"spyck",0.275930195612607,0.0102142043313389,"spyck"
"squalf",0.275930195612607,0.0142909992531104,"squalf"
"therv",0.275930195612607,0.0474173304008291,"therv"
"thomps",0.275930195612607,0.00734151470446113,"thomps"
"toch",0.275930195612607,0.00796773825471355,"toch"
"trafes",0.275930195612607,-0.0235512787670793,"trafes"
"trunce",0.275930195612607,0.0111434276396385,"trunce"
"twad",0.275930195612607,0.011986146986196,"twad"
"twawls",0.275930195612607,0.010431802635015,"twawls"
"twell",0.275930195612607,-0.0201447458620554,"twell"
"yafs",0.275930195612607,0.0126884876949895,"yafs"
"yunt",0.275930195612607,0.00694815428867422,"yunt"
