workerid	noun	distractorValues	item	slide_number	imgs	predicate2	predicate1	response	condition
0	ball	[u'green', u'striped', u'blue', u'spotted']	[u'red', u'solid']	3	[[u'green_striped_ball.png', u'other'], [u'red_solid_ball.png', u'target'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other']]	red	solid	0.46	first_informative
0	ball	[u'blue', u'solid', u'green', u'spotted']	[u'red', u'striped']	4	[[u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'red_striped_ball.png', u'target'], [u'blue_solid_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other']]	striped	red	0.44	first_informative
0	ball	[u'blue', u'solid', u'red', u'striped']	[u'green', u'checkered']	5	[[u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_checkered_ball.png', u'target'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other']]	green	checkered	0.52	second_informative
0	ball	[u'green', u'spotted', u'red', u'striped']	[u'blue', u'solid']	6	[[u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_solid_ball.png', u'target'], [u'green_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other']]	blue	solid	0.44	second_informative
0	cup	[u'green', u'glass', u'red', u'plastic']	[u'blue', u'metal']	7	[[u'green_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'target'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other']]	blue	metal	0.68	first_informative
0	cup	[u'blue', u'metal', u'red', u'glass']	[u'green', u'plastic']	8	[[u'green_metal_cup.png', u'other'], [u'green_plastic_cup.png', u'target'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other']]	plastic	green	0.51	second_informative
0	cup	[u'red', u'metal', u'green', u'plastic']	[u'blue', u'glass']	9	[[u'blue_metal_cup.png', u'other'], [u'blue_glass_cup.png', u'target'], [u'red_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other']]	blue	glass	0.59	second_informative
0	cup	[u'red', u'metal', u'green', u'glass']	[u'blue', u'plastic']	10	[[u'blue_metal_cup.png', u'other'], [u'blue_plastic_cup.png', u'target'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'blue_metal_cup.png', u'other']]	blue	plastic	0.69	second_informative
0	ball	[u'blue', u'solid', u'red', u'striped']	[u'green', u'spotted']	11	[[u'blue_spotted_ball.png', u'other'], [u'green_spotted_ball.png', u'target'], [u'green_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other']]	green	spotted	0.54	filler
0	cup	[u'red', u'glass', u'green', u'plastic']	[u'blue', u'wooden']	12	[[u'blue_glass_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'blue_wooden_cup.png', u'target'], [u'red_wooden_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'red_glass_cup.png', u'other']]	blue	wooden	0.63	filler
