workerid	response_2	response_3	predicate1	response_1	slide_number
0	0.31	0.3	scorcs	0.8	4
0	0.84	0.16	preathe	0.17	5
0	0.95	0.53	ceched	0.1	6
0	0.11	0.41	joids	0.82	7
0	0.82	0.82	scrib	0.81	8
0	0.83	0.11	yunt	0.84	9
0	0.29	0.91	clou	0.83	10
0	0.42	0.76	fonns	0.61	11
0	0.24	0.81	twad	0.87	12
0	0.84	0.84	therv	0.19	13
0	0.83	0.82	spyck	0.77	14
0	0.22	0.8	thomps	0.83	15
0	0.72	0.85	olm	0.82	16
0	0.38	0.81	cref	0.83	17
0	0.86	0.91	dwake	0.43	18
0	0.79	0.92	jite	0.28	19
0	0.16	0.86	muic	0.86	20
0	0.82	0.83	blef	0.79	21
0	0.48	0.93	gelt	0.84	22
0	0.84	0.54	jaund	0.33	23
0	0.87	0.89	kolch	0.63	24
0	0.81	0.44	grirped	0.67	25
0	0.76	0.83	broff	0.83	26
0	0.22	0.75	plach	0.79	27
0	0.35	0.84	rhould	0.74	28
0	0.91	0.92	squalf	0.22	29
0	0.57	0.85	brirk	0.57	30
0	0.38	0.72	lann	0.74	31
0	0.86	0.87	praife	0.26	32
0	0.21	0.91	trafes	0.22	33
1	0.05	0.41	squalf	0.71	4
1	0.06	0.73	physs	0.6	5
1	0.71	0.55	anns	0.26	6
1	0.07	0.53	duilts	0.73	7
1	0.29	0.51	slalps	0.89	8
1	0.11	0.59	trunce	0.95	9
1	0.58	0.47	irv	0.35	10
1	0.99	0.53	niege	0.11	11
1	0.45	0.21	lised	0.62	12
1	0.82	0.58	rhould	0.61	13
1	0.67	0.73	kolch	0.55	14
1	0.42	0.65	plach	0.67	15
1	0.19	0.52	fict	0.84	16
1	0.45	0.72	scorcs	0.24	17
1	0.45	0.72	spunes	0.2	18
1	0.52	0.33	clou	0.29	19
1	0.27	0.02	heaned	0.95	20
1	0.2	0.4	crooch	0.61	21
1	0.42	0.71	phoys	0.26	22
1	0.39	0.07	preathe	0.76	23
1	0.7	0.39	jaund	0.31	24
1	0.67	0.55	muic	0.27	25
1	0.24	0.67	gwigs	0.42	26
1	0.58	0.79	broff	0.58	27
1	0.47	0.24	brame	0.48	28
1	0.4	0.74	hafs	0.26	29
1	0.21	0.07	ghoice	0.76	30
1	0.36	0	ceched	0.71	31
1	0.29	0.83	dwake	0.61	32
1	0.78	0.82	spyck	0.13	33
2	0.02	0.96	juints	0.02	4
2	0.04	0.02	gwigs	0.95	5
2	0.04	0	scrib	0.97	6
2	0.04	0.96	twawls	0.03	7
2	0.03	0.96	ghoice	0.03	8
2	0.05	0.02	lised	0.96	9
2	0.95	0	niege	0.04	10
2	0.05	0.03	slalps	0.99	11
2	0.05	0.98	physs	0.05	12
2	0.04	0.98	fonns	0.04	13
2	0.02	0.02	yafs	0.97	14
2	0.97	0.05	glab	0.06	15
2	0.97	0.06	fict	0.04	16
2	0.02	0.02	brame	0.97	17
2	0.02	0.04	dwake	0.95	18
2	0.99	0.05	hafs	0.07	19
2	0.04	0.97	brirk	0.04	20
2	0.03	0.94	crooch	0.05	21
2	0.03	0.04	spunes	0.95	22
2	0.02	0.03	thomps	0.98	23
2	0.96	0.04	jaund	0.03	24
2	0.03	0.98	fruith	0.04	25
2	0.04	0.05	toch	0.96	26
2	0.04	0.02	spraived	0.97	27
2	0.97	0.04	twad	0.04	28
2	0.02	0.06	jite	0.96	29
2	0.96	0.04	spyck	0.02	30
2	0.01	0.97	plach	0.05	31
2	0.04	0.04	milbed	0.96	32
2	0.02	0.04	yunt	0.94	33
3	0	0	joids	1	4
3	1	0	ghoice	0	5
3	0	1	rhould	0	6
3	1	0	spraived	0	7
3	0	1	heaned	0	8
3	1	0	twawls	0	9
3	0	0	brirk	1	10
3	1	0	ceched	0	11
3	0	0	broff	1	12
3	1	0	anns	0	13
3	0	0	twad	1	14
3	0	0	duilts	1	15
3	1	0	cref	0	16
3	0	1	fict	0	17
3	0	0	spunes	1	18
3	1	0	therv	0	19
3	1	0	blef	0	20
3	0	0	gwigs	1	21
3	1	0	irv	0	22
3	0	0	praife	1	23
3	0	0	olm	1	24
3	0	0	milbed	1	25
3	0	0	snurts	1	26
3	0	0	crooch	1	27
3	0	0	lann	1	28
3	1	0	niege	0	29
3	0	0	gelt	1	30
3	0	1	kolch	0	31
3	1	0	jaund	0	32
3	0	0	clou	1	33
4	0.09	0.56	clou	0.71	4
4	0.09	0.76	lann	0.12	5
4	0.32	0.1	twell	0.76	6
4	0.27	0.78	yunt	0.04	7
4	0.11	0.11	glab	0.9	8
4	0.61	0.49	dwake	0.23	9
4	0.22	0.76	phoys	0.18	10
4	0.15	0.35	spunes	0.86	11
4	0.22	0.21	grirped	0.8	12
4	0.51	0.14	broff	0.5	13
4	0.1	0.2	preathe	0.73	14
4	0.17	0.83	juints	0.15	15
4	0.12	0.74	fict	0.11	16
4	0.24	0.21	brirk	0.73	17
4	0.13	0.65	brame	0.24	18
4	0.21	0.42	toch	0.68	19
