workerid	response_2	response_3	predicate1	response_1	slide_number
0	0.02	0.78	brame	0.32	4
0	0.48	0.65	fict	0.04	5
0	0.98	0.32	jaund	0.05	6
0	0.1	0.38	jite	0.56	7
0	0.12	0.84	plach	0.07	8
0	0.52	0.53	rhould	0.64	9
0	0.9	0.35	gelt	0.1	10
0	0.15	0.14	broff	0.8	11
0	0.08	0.1	phoys	0.69	12
0	0.37	0.58	brirk	0.37	13
0	0.17	0.21	ghoice	0.66	14
0	0.13	0.37	hafs	0.4	15
0	0.23	0.68	cuint	0.85	16
0	0.85	0.43	kolch	0.25	17
0	0.15	0.27	bamn	0.65	18
0	0.06	0.14	trafes	0.81	19
0	0.66	0.4	scorcs	0.2	20
0	0.19	0.32	glab	0.9	21
0	0.42	0.52	snurts	0.06	22
0	0.22	0.66	lann	0.45	23
0	0.5	0.08	fruith	0.52	24
0	0.82	0.41	muic	0.09	25
0	0.02	0.05	heaned	0.98	26
0	0	0.19	milbed	0.85	27
0	0.75	0.54	spyck	0.13	28
0	0.98	0.21	twad	0.04	29
0	0.22	0.51	gwigs	0.37	30
0	0.45	0.69	anns	0.03	31
0	0.5	0.5	yunt	0.5	32
0	0.81	0.04	therv	0.73	33
1	0.94	0.02	dwake	0.15	4
1	0.02	0	jite	0.87	5
1	0.28	1	trunce	0	6
1	0.2	0	scorcs	1	7
1	0.97	0	physs	0.57	8
1	1	0	snurts	0	9
1	1	0	thomps	0.32	10
1	1	0.02	yafs	0	11
1	0.98	0.72	fict	0	12
1	0.86	0	trafes	0	13
1	0.55	1	kolch	0	14
1	0	1	bamn	0	15
1	0.56	0.74	yunt	0.23	16
1	0	0.45	cuint	0.62	17
1	0.22	0.3	spyck	0.5	18
1	0.5	0.1	spunes	0.28	19
1	0.12	0.84	duilts	0.44	20
1	0	0.15	broff	0.76	21
1	0.01	1	fonns	0	22
1	0	0.74	lann	0.28	23
1	0.15	1	grirped	0	24
1	0	0	anns	1	25
1	0.7	0.12	fruith	0	26
1	0.24	0.7	clou	0.22	27
1	0.16	0.49	joids	0.56	28
1	0	1	brame	0	29
1	0	0.79	scrib	0.28	30
1	0.81	0	glab	1	31
1	0	0.96	muic	0.32	32
1	0	0.02	gelt	1	33
2	0.7	0.3	anns	0.3	4
2	0.61	0.5	ceched	0.31	5
2	0.7	0.47	fruith	0.5	6
2	0.36	0.61	dwake	0.36	7
2	0.3	0.87	twell	0.62	8
2	0.73	0.67	bamn	0.6	9
2	0.81	0.38	brirk	0.22	10
2	0.48	0.57	brame	0.7	11
2	0.24	0.27	kolch	0.56	12
2	0.54	0.49	trunce	0.71	13
2	0.6	0.56	hafs	0.3	14
2	0.56	0.62	lann	0.69	15
2	0.32	0.58	toch	0.71	16
2	0.42	0.68	grirped	0.72	17
