workerid	predicate2	predicate1	response	slide_number
0	blue	olm	0.89	4
0	olm	small	0.83	5
0	olm	twell	0.1	6
0	twell	big	0.87	7
0	twell	small	0.85	8
0	big	olm	0.16	9
0	red	twell	0.86	10
0	olm	red	0.87	11
0	olm	twell	0.26	12
0	twell	blue	0.86	13
1	olm	red	1	4
1	green	olm	0.03	5
1	big	olm	0.03	6
1	cref	big	0.03	7
1	cref	olm	0.05	8
1	cref	red	0.02	9
1	cref	green	0.04	10
1	cref	olm	0.01	11
1	cref	small	0.02	12
1	olm	small	0.97	13
2	lann	blue	1	4
2	cref	lann	1	5
2	cref	lann	1	6
2	green	cref	0	7
2	small	lann	0	8
2	green	lann	0	9
2	lann	big	1	10
2	cref	big	1	11
2	blue	cref	0	12
2	small	cref	0	13
3	blue	twell	0	4
3	green	twell	0	5
3	small	twell	0	6
3	muic	green	1	7
3	small	muic	0	8
3	muic	big	1	9
3	twell	big	1	10
3	muic	blue	1	11
3	twell	muic	0.49	12
3	twell	muic	0.49	13
4	muic	lann	0.18	4
4	muic	big	0.85	5
4	muic	small	0.81	6
4	blue	muic	0.13	7
4	green	lann	0.19	8
4	lann	big	0.76	9
4	muic	green	0.87	10
4	blue	lann	0.14	11
4	muic	lann	0.14	12
4	lann	small	0.86	13
5	muic	green	0.04	4
5	green	olm	0.99	5
5	olm	small	0.99	6
5	muic	olm	0.01	7
5	olm	big	0.97	8
5	small	muic	0.04	9
5	muic	olm	0.04	10
5	red	olm	0.98	11
5	muic	red	0.02	12
5	big	muic	0	13
6	olm	small	1	4
6	big	lann	0	5
6	lann	green	1	6
6	small	lann	0	7
6	olm	lann	0	8
6	olm	blue	1	9
6	lann	olm	1	10
6	green	olm	0	11
6	blue	lann	0	12
6	big	olm	0	13
7	big	cref	0.1	4
7	cref	olm	0.06	5
7	green	cref	0.06	6
7	green	olm	0.02	7
7	red	olm	0.03	8
7	small	olm	0	9
7	cref	olm	0	10
7	small	cref	0.09	11
7	red	cref	0.07	12
7	olm	big	0.95	13
8	small	olm	0	4
8	green	olm	0	5
8	big	cref	0	6
8	olm	cref	1	7
8	big	olm	0	8
8	cref	green	1	9
8	blue	cref	0	10
8	cref	olm	0	11
8	small	cref	0	12
8	blue	olm	0	13
