workerid	predicate2	predicate1	response	slide_number
0	blue	twell	1	4
0	muic	big	0	5
0	muic	small	0	6
0	muic	red	0	7
0	muic	twell	0	8
0	blue	muic	1	9
0	twell	small	0	10
0	twell	big	0	11
0	red	twell	0	12
0	twell	muic	0	13
1	cref	red	1	4
1	blue	olm	0.6	5
1	olm	cref	0.11	6
1	small	cref	0.05	7
1	cref	olm	0.88	8
1	blue	cref	0.09	9
1	red	olm	0.8	10
1	olm	big	0.9	11
1	big	cref	0.08	12
1	olm	small	0.92	13
2	olm	red	1	4
2	muic	red	1	5
2	big	olm	0	6
2	muic	big	1	7
2	muic	olm	1	8
2	small	olm	0.03	9
2	green	muic	0.02	10
2	muic	olm	0.99	11
2	small	muic	0.03	12
2	green	olm	0.03	13
3	lann	blue	1	4
3	blue	twell	0.26	5
3	lann	small	0.76	6
3	twell	green	1	7
3	lann	twell	0.11	8
3	small	twell	0.16	9
3	twell	lann	0.74	10
3	lann	big	0.66	11
3	lann	green	0.22	12
3	twell	big	0.75	13
4	cref	blue	0.92	4
4	small	olm	0.11	5
4	olm	cref	0.88	6
4	cref	big	0.95	7
4	olm	red	0.86	8
4	olm	blue	0.84	9
4	olm	big	0.9	10
4	cref	red	0.92	11
4	cref	small	0.86	12
4	cref	olm	0.88	13
5	cref	twell	1	4
5	green	cref	1	5
5	red	twell	1	6
5	cref	red	0.01	7
5	cref	small	1	8
5	twell	big	1	9
5	big	cref	0	10
5	twell	small	1	11
5	twell	green	1	12
5	twell	cref	0	13
6	blue	lann	0.11	4
6	big	twell	0.99	5
6	red	twell	0.1	6
6	lann	red	0.89	7
6	small	lann	0.22	8
6	lann	twell	0.82	9
6	lann	big	0.87	10
6	twell	lann	0.19	11
6	blue	twell	0.1	12
6	twell	small	0.78	13
7	cref	red	0.11	4
7	lann	blue	0.16	5
7	cref	lann	0.21	6
7	lann	red	0.08	7
7	lann	cref	0.17	8
7	small	lann	0.19	9
7	lann	big	0.89	10
7	cref	small	0.89	11
7	blue	cref	0.09	12
7	cref	big	0.81	13
8	green	cref	0.09	4
8	blue	cref	0.1	5
8	green	olm	0.8	6
8	olm	cref	0.88	7
8	cref	small	0.87	8
8	olm	blue	0.85	9
8	big	olm	0.05	10
8	cref	big	0.94	11
8	olm	small	0.96	12
8	cref	olm	0.06	13
