workerid	predicate2	predicate1	response	slide_number
0	small	muic	0.05	4
0	red	muic	0.04	5
0	twell	muic	0.04	6
0	muic	twell	0.97	7
0	small	twell	0.05	8
0	red	twell	0.02	9
0	green	twell	0.04	10
0	muic	green	0.97	11
0	big	twell	0	12
0	big	muic	0.03	13
1	cref	blue	0.92	4
1	lann	green	0.92	5
1	green	cref	0.08	6
1	small	lann	0.05	7
1	cref	lann	1	8
1	cref	small	0.97	9
1	big	cref	0.05	10
1	lann	big	0.98	11
1	lann	cref	0.01	12
1	lann	blue	0.99	13
2	big	twell	0.96	4
2	red	olm	0.96	5
2	twell	green	0.03	6
2	twell	olm	0.99	7
2	olm	twell	0.01	8
2	olm	small	0.01	9
2	big	olm	0.05	10
2	twell	red	0.98	11
2	small	twell	0.98	12
2	green	olm	0.98	13
3	olm	big	1	4
3	small	cref	0.01	5
3	cref	olm	0.95	6
3	olm	cref	0.96	7
3	olm	red	0.01	8
3	blue	olm	0.99	9
3	small	olm	0.01	10
3	cref	blue	0.03	11
3	cref	big	0.98	12
3	red	cref	0.03	13
4	green	olm	0	4
4	big	olm	0	5
4	green	twell	0	6
4	small	twell	0	7
4	twell	olm	0	8
4	red	olm	0	9
4	olm	small	1	10
4	twell	red	1	11
4	twell	big	1	12
4	twell	olm	0	13
5	twell	muic	0.88	4
5	twell	small	0.98	5
5	muic	small	0.97	6
5	blue	muic	0.06	7
5	twell	muic	0.95	8
5	blue	twell	0.04	9
5	muic	big	0.96	10
5	red	muic	0.04	11
5	red	twell	0.01	12
5	twell	big	0.96	13
6	small	twell	0.01	4
6	twell	cref	0.97	5
6	blue	cref	0.97	6
6	big	cref	0.02	7
6	green	cref	0.97	8
6	green	twell	0.95	9
6	cref	twell	0.95	10
6	twell	blue	0.01	11
6	big	twell	0	12
6	small	cref	0.95	13
7	olm	twell	0.54	4
7	blue	twell	0.48	5
7	twell	red	0.19	6
7	small	olm	0.65	7
7	olm	big	0.47	8
7	olm	blue	0.47	9
7	olm	twell	0.47	10
7	small	twell	0.77	11
7	twell	big	0.63	12
7	olm	red	0.34	13
8	green	olm	0.85	4
8	twell	olm	0.85	5
8	twell	small	0.87	6
8	olm	small	0.93	7
8	big	olm	0.11	8
8	red	olm	0.86	9
8	red	twell	0.07	10
8	twell	green	0.1	11
8	twell	olm	0.9	12
8	twell	big	0.87	13
