workerid	predicate2	predicate1	response	slide_number
0	twell	green	0.2	4
0	lann	big	0.87	5
0	twell	lann	0.16	6
0	big	twell	0	7
0	blue	lann	0.18	8
0	lann	twell	0.89	9
0	small	lann	0.12	10
0	twell	small	0.87	11
0	lann	green	0.91	12
0	twell	blue	0.89	13
1	cref	small	0.97	4
1	cref	red	0.96	5
1	green	muic	0	6
1	big	cref	0.02	7
1	muic	cref	0.96	8
1	small	muic	0	9
1	big	muic	0.05	10
1	cref	green	0.87	11
1	red	muic	0.04	12
1	cref	muic	0.94	13
2	green	twell	0.73	4
2	big	lann	0.2	5
2	lann	blue	0.77	6
2	twell	big	0.77	7
2	twell	blue	0.86	8
2	lann	small	0.97	9
2	green	lann	0.89	10
2	twell	lann	0.14	11
2	lann	twell	0.07	12
2	small	twell	0.07	13
3	twell	small	0.98	4
3	muic	small	0.96	5
3	big	twell	0.03	6
3	muic	big	0.94	7
3	muic	green	0.98	8
3	blue	muic	0.01	9
3	muic	twell	0.06	10
3	muic	twell	0.01	11
3	twell	green	0.94	12
3	blue	twell	0.05	13
4	muic	small	0.76	4
4	olm	small	0.79	5
4	muic	olm	0.17	6
4	olm	big	0.82	7
4	muic	big	0.75	8
4	blue	olm	0.13	9
4	green	olm	0.16	10
4	muic	olm	0.18	11
4	muic	blue	0.13	12
4	muic	green	0.15	13
5	small	muic	0.02	4
5	blue	muic	0	5
5	olm	small	1	6
5	olm	muic	0	7
5	olm	muic	0	8
5	muic	green	0	9
5	big	olm	0	10
5	olm	green	0	11
5	big	muic	0	12
5	blue	olm	0	13
6	twell	green	0.73	4
6	lann	big	0.17	5
6	lann	green	0.68	6
6	small	twell	0.23	7
6	blue	twell	0.82	8
6	twell	big	0.79	9
6	blue	lann	0.28	10
6	small	lann	0.36	11
6	lann	twell	0.32	12
6	twell	lann	0.77	13
7	blue	olm	0.23	4
7	lann	olm	0.87	5
7	small	lann	0.15	6
7	olm	big	0.84	7
7	red	lann	0.08	8
7	lann	blue	0.75	9
7	big	lann	0.08	10
7	olm	small	0.85	11
7	red	olm	0.06	12
7	olm	lann	0.83	13
8	red	lann	0	4
8	lann	blue	1	5
8	lann	muic	0.47	6
8	small	lann	0	7
8	muic	big	1	8
8	big	lann	0	9
8	muic	blue	1	10
8	small	muic	0	11
8	muic	lann	1	12
8	muic	red	1	13
