workerid	predicate2	predicate1	response	slide_number
0	twell	lann	0.89	4
0	lann	big	1	5
0	twell	big	0.95	6
0	blue	lann	0	7
0	small	lann	0	8
0	lann	green	1	9
0	twell	small	1	10
0	twell	lann	0.95	11
0	twell	green	1	12
0	blue	twell	0.04	13
1	muic	lann	0.89	4
1	lann	red	0.87	5
1	lann	small	0.82	6
1	muic	blue	0.88	7
1	small	muic	0.17	8
1	lann	blue	0.92	9
1	muic	lann	0.18	10
1	red	muic	0.08	11
1	lann	big	0.94	12
1	big	muic	0.08	13
2	blue	olm	0.24	4
2	big	olm	0.22	5
2	olm	red	0.83	6
2	red	lann	0.17	7
2	small	lann	0.18	8
2	olm	small	0.82	9
2	olm	lann	0.8	10
2	lann	blue	0.68	11
2	lann	big	0.67	12
2	lann	olm	0.36	13
3	olm	big	1	4
3	small	olm	0	5
3	olm	red	1	6
3	muic	small	1	7
3	muic	olm	0	8
3	muic	olm	1	9
3	red	muic	0	10
3	blue	muic	0	11
3	big	muic	0	12
3	blue	olm	0	13
4	blue	muic	1	4
4	red	lann	0.04	5
4	lann	muic	0.99	6
4	muic	big	0.04	7
4	muic	small	0.97	8
4	small	lann	0.02	9
4	lann	muic	0.98	10
4	red	muic	0.02	11
4	lann	big	0.99	12
4	blue	lann	0.97	13
5	muic	twell	0.85	4
5	big	twell	0	5
5	muic	big	0.95	6
5	muic	small	0.83	7
5	blue	twell	0.19	8
5	green	muic	0.14	9
5	green	twell	0.06	10
5	muic	blue	0.85	11
5	muic	twell	0.87	12
5	small	twell	0.01	13
6	big	lann	0	4
6	small	lann	0	5
6	lann	red	1	6
6	lann	olm	1	7
6	olm	big	1	8
6	lann	blue	1	9
6	olm	blue	1	10
6	olm	small	1	11
6	red	olm	0	12
6	olm	lann	0	13
7	green	olm	0.74	4
7	small	olm	0.15	5
7	muic	green	0.69	6
7	big	olm	0.22	7
7	small	muic	0.21	8
7	blue	muic	0.17	9
7	big	muic	0.19	10
7	muic	olm	0.82	11
7	muic	olm	0.12	12
7	blue	olm	0.21	13
8	small	twell	0.14	4
8	muic	green	0.89	5
8	twell	muic	0.91	6
8	green	twell	0.91	7
8	big	twell	0.09	8
8	twell	red	0.94	9
8	muic	small	0.94	10
8	red	muic	0.03	11
8	muic	twell	0.93	12
8	big	muic	0.06	13
