workerid	predicate2	predicate1	response	slide_number
0	twell	green	1	4
0	red	twell	1	5
0	olm	green	1	6
0	olm	twell	0	7
0	olm	twell	0	8
0	red	olm	0	9
0	small	twell	0.04	10
0	small	olm	0	11
0	big	twell	0	12
0	olm	big	1	13
1	lann	big	0.98	4
1	green	lann	0	5
1	green	muic	1	6
1	lann	muic	1	7
1	lann	small	1	8
1	red	lann	0	9
1	big	muic	0	10
1	muic	lann	0	11
1	muic	small	1	12
1	muic	red	1	13
2	blue	cref	0.92	4
2	cref	big	0.95	5
2	muic	blue	0.08	6
2	cref	muic	0.03	7
2	cref	muic	0.06	8
2	muic	big	0.95	9
2	muic	green	0.05	10
2	muic	small	0.93	11
2	cref	small	0.02	12
2	green	cref	0.96	13
3	olm	green	1	4
3	cref	red	1	5
3	olm	small	1	6
3	cref	olm	0	7
3	cref	small	1	8
3	cref	big	1	9
3	olm	red	1	10
3	olm	big	1	11
3	cref	green	0.93	12
3	cref	olm	0	13
4	small	twell	0.01	4
4	lann	small	0.95	5
4	big	lann	0.09	6
4	twell	green	0.99	7
4	big	twell	0.05	8
4	green	lann	0.1	9
4	twell	lann	0.91	10
4	red	twell	0.06	11
4	red	lann	0.08	12
4	twell	lann	0.93	13
5	small	lann	0.12	4
5	twell	lann	0.87	5
5	big	lann	0.13	6
5	green	twell	0.75	7
5	blue	twell	0.75	8
5	green	lann	0.81	9
5	lann	twell	0.33	10
5	blue	lann	0.71	11
5	small	twell	0.69	12
5	twell	big	0.84	13
6	cref	twell	0.04	4
6	cref	small	0.99	5
6	cref	twell	0.25	6
6	big	twell	0.11	7
6	cref	big	0.87	8
6	green	twell	0.02	9
6	twell	small	0.97	10
6	twell	blue	0.93	11
6	green	cref	0.07	12
6	cref	blue	0.95	13
7	small	cref	0.05	4
7	olm	green	1	5
7	big	olm	0.05	6
7	cref	big	0.03	7
7	red	olm	0.95	8
7	cref	green	0.07	9
7	cref	olm	0.17	10
7	olm	cref	0.85	11
7	red	cref	0.87	12
7	olm	small	0.15	13
8	olm	green	0.03	4
8	twell	big	0.96	5
8	olm	small	0.93	6
8	olm	twell	0.95	7
8	twell	blue	0.98	8
8	twell	green	0.99	9
8	small	twell	0	10
8	blue	olm	0	11
8	twell	olm	0.93	12
8	olm	big	0.95	13
