workerid	predicate2	predicate1	response	slide_number
0	small	twell	0	4
0	red	twell	0	5
0	red	lann	0	6
0	blue	twell	0	7
0	blue	lann	0	8
0	twell	lann	1	9
0	lann	twell	0	10
0	big	twell	0	11
0	small	lann	0	12
0	lann	big	1	13
1	small	lann	0.03	4
1	big	twell	0.06	5
1	blue	lann	0.03	6
1	blue	twell	0.05	7
1	lann	twell	0.02	8
1	red	twell	0.05	9
1	small	twell	0.06	10
1	lann	twell	0.03	11
1	big	lann	0.02	12
1	red	lann	0.04	13
2	muic	small	0.99	4
2	cref	muic	1	5
2	muic	blue	1	6
2	cref	green	1	7
2	cref	small	1	8
2	muic	green	1	9
2	muic	big	1	10
2	blue	cref	0	11
2	cref	muic	1	12
2	big	cref	0	13
3	twell	olm	0.12	4
3	twell	olm	0.13	5
3	twell	small	0.03	6
3	small	olm	0.99	7
3	olm	big	0.21	8
3	twell	red	0.97	9
3	olm	blue	0.97	10
3	olm	red	0.98	11
3	big	twell	0.04	12
3	blue	twell	0.04	13
4	big	lann	0.03	4
4	big	twell	0.06	5
4	twell	lann	0.97	6
4	small	twell	0.08	7
4	lann	small	0.96	8
4	twell	lann	0.94	9
4	twell	green	0.92	10
4	red	twell	0.08	11
4	red	lann	0.07	12
4	lann	green	0.97	13
5	red	cref	0	4
5	blue	cref	0	5
5	small	cref	0	6
5	cref	lann	1	7
5	big	cref	0	8
5	lann	blue	1	9
5	lann	big	1	10
5	lann	red	1	11
5	lann	small	1	12
5	cref	lann	1	13
6	green	lann	0.37	4
6	lann	twell	0.65	5
6	big	lann	0.21	6
6	twell	lann	0.2	7
6	twell	small	0.46	8
6	green	twell	0.61	9
6	small	lann	0.23	10
6	lann	red	0.7	11
6	big	twell	0.54	12
6	red	twell	0.59	13
7	cref	green	0.86	4
7	cref	big	0.83	5
7	red	muic	0.14	6
7	muic	green	0.87	7
7	muic	small	0.85	8
7	small	cref	0.1	9
7	muic	big	0.88	10
7	cref	red	0.85	11
7	cref	muic	0.1	12
7	muic	cref	0.89	13
8	red	cref	0.09	4
8	olm	cref	0.09	5
8	cref	big	0.95	6
8	cref	olm	0.93	7
8	small	olm	0.08	8
8	olm	red	0.91	9
8	blue	cref	0.06	10
8	olm	blue	0.95	11
8	big	olm	0.08	12
8	cref	small	0.95	13
