workerid	predicate2	predicate1	response	slide_number
0	twell	cref	0.01	4
0	cref	twell	0.01	5
0	big	cref	0.04	6
0	twell	red	0.98	7
0	green	twell	0.03	8
0	cref	green	0.96	9
0	cref	red	0.97	10
0	twell	big	0.94	11
0	twell	small	0.97	12
0	small	cref	0.03	13
1	red	cref	0.45	4
1	cref	twell	0.59	5
1	twell	small	0.58	6
1	twell	big	0.52	7
1	big	cref	0.53	8
1	cref	twell	0.54	9
1	green	twell	0.61	10
1	small	cref	0.52	11
1	red	twell	0.51	12
1	green	cref	0.49	13
2	big	twell	0.37	4
2	cref	twell	0.23	5
2	twell	small	0.81	6
2	red	cref	0.17	7
2	big	cref	0.1	8
2	twell	cref	0.93	9
2	cref	green	0.73	10
2	cref	small	0.8	11
2	red	twell	0.09	12
2	twell	green	0.82	13
3	small	twell	0.84	4
3	cref	big	0.99	5
3	blue	twell	0.17	6
3	big	twell	0.86	7
3	cref	twell	0.78	8
3	red	twell	0.03	9
3	twell	cref	0.95	10
3	cref	small	0.96	11
3	cref	red	0.95	12
3	blue	cref	0.01	13
4	red	cref	0	4
4	cref	big	1	5
4	red	twell	0	6
4	big	twell	0	7
4	cref	twell	0.16	8
4	twell	green	0.98	9
4	cref	green	1	10
4	twell	small	1	11
4	cref	twell	1	12
4	cref	small	1	13
5	twell	cref	0.82	4
5	cref	blue	0.81	5
5	twell	green	0.59	6
5	big	cref	0.29	7
5	twell	blue	0.74	8
5	twell	cref	0.66	9
5	small	cref	0.26	10
5	twell	small	0.73	11
5	green	cref	0.34	12
5	twell	big	0.63	13
6	small	cref	0	4
6	twell	red	1	5
6	cref	red	1	6
6	twell	cref	1	7
6	twell	cref	1	8
6	green	twell	0	9
6	twell	small	1	10
6	twell	big	1	11
6	big	cref	0	12
6	green	cref	0	13
