workerid	predicate2	predicate1	response	slide_number
0	twell	big	0.78	4
0	muic	blue	0.19	5
0	big	muic	0.12	6
0	green	twell	0.14	7
0	muic	twell	0.75	8
0	small	twell	0.79	9
0	twell	muic	0.2	10
0	blue	twell	0.79	11
0	green	muic	0.8	12
0	muic	small	0.8	13
1	olm	green	0.98	4
1	lann	olm	0.89	5
1	olm	small	0.89	6
1	green	lann	0	7
1	big	olm	0.05	8
1	lann	small	0.95	9
1	red	olm	0.02	10
1	red	lann	0.02	11
1	olm	lann	0.46	12
1	lann	big	0.93	13
2	cref	blue	1	4
2	blue	muic	0	5
2	small	cref	0	6
2	big	muic	0	7
2	cref	big	1	8
2	muic	small	1	9
2	muic	cref	0	10
2	cref	red	1	11
2	cref	muic	1	12
2	red	muic	0	13
3	twell	small	0.82	4
3	lann	small	0.13	5
3	lann	green	1	6
3	twell	lann	0.01	7
3	lann	twell	0.16	8
3	big	twell	0.03	9
3	twell	green	0.98	10
3	big	lann	0.02	11
3	lann	red	0.97	12
3	twell	red	0.87	13
4	muic	twell	0.22	4
4	muic	small	0.89	5
4	small	twell	0.1	6
4	blue	muic	0.88	7
4	twell	muic	0.18	8
4	twell	blue	0.18	9
4	red	twell	0.18	10
4	muic	red	0.19	11
4	big	twell	0.83	12
4	big	muic	0.18	13
5	twell	green	0.01	4
5	big	muic	0.02	5
5	twell	muic	0.03	6
5	green	muic	0.98	7
5	blue	muic	0.97	8
5	small	twell	0.97	9
5	twell	blue	0.03	10
5	muic	small	0.06	11
5	twell	big	0.06	12
5	muic	twell	0.97	13
6	cref	small	1	4
6	twell	cref	0	5
6	cref	big	0.81	6
6	small	twell	0.14	7
6	twell	big	0.85	8
6	twell	cref	0.75	9
6	blue	cref	0.15	10
6	green	twell	0.13	11
6	twell	blue	0.85	12
6	cref	green	0.85	13
7	olm	red	0.89	4
7	cref	small	0.84	5
7	cref	red	0.81	6
7	cref	big	0.76	7
7	cref	olm	0.73	8
7	green	cref	0.15	9
7	big	olm	0.13	10
7	olm	green	0.69	11
7	olm	cref	0.25	12
7	olm	small	0.79	13
8	twell	blue	0.16	4
8	small	twell	0.18	5
8	olm	twell	0.43	6
8	red	olm	0	7
8	blue	olm	0.46	8
8	twell	red	0.69	9
8	olm	big	0.72	10
8	small	olm	0.18	11
8	big	twell	0.09	12
8	olm	twell	0.24	13
