workerid	predicate2	predicate1	response	slide_number
0	blue	twell	0.53	4
0	red	twell	0.62	5
0	small	muic	0.55	6
0	big	twell	0.67	7
0	twell	muic	0.64	8
0	muic	red	0.46	9
0	twell	small	0.68	10
0	blue	muic	0.53	11
0	muic	twell	0.66	12
0	muic	big	0.38	13
1	lann	big	0.56	4
1	red	lann	0.59	5
1	red	muic	0.48	6
1	green	muic	0.56	7
1	lann	muic	0.59	8
1	big	muic	0.48	9
1	muic	small	0.63	10
1	lann	green	0.5	11
1	lann	small	0.56	12
1	muic	lann	0.44	13
2	small	lann	0.61	4
2	green	cref	0.39	5
2	lann	cref	0.6	6
2	lann	cref	0.69	7
2	red	cref	0.62	8
2	small	cref	0.69	9
2	lann	red	0.54	10
2	lann	green	0.68	11
2	cref	big	0.49	12
2	lann	big	0.73	13
3	lann	small	1	4
3	lann	big	1	5
3	blue	lann	1	6
3	lann	red	1	7
3	twell	small	0	8
3	lann	twell	0	9
3	twell	red	1	10
3	big	twell	0	11
3	twell	lann	1	12
3	twell	blue	1	13
4	twell	big	0.5	4
4	muic	red	0.6	5
4	blue	muic	0.31	6
4	small	twell	0.65	7
4	muic	big	0.52	8
4	red	twell	0.63	9
4	twell	muic	0.64	10
4	twell	muic	0.53	11
4	blue	twell	0.68	12
4	muic	small	0.4	13
5	lann	green	0.95	4
5	small	cref	0.02	5
5	lann	red	0.99	6
5	lann	big	0.98	7
5	red	cref	0	8
5	lann	cref	0.22	9
5	lann	cref	0.18	10
5	small	lann	0.04	11
5	big	cref	0.02	12
5	green	cref	0.04	13
6	big	lann	0	4
6	muic	lann	0	5
6	muic	lann	0	6
6	blue	lann	0	7
6	red	muic	0	8
6	lann	small	1	9
6	muic	blue	1	10
6	muic	big	1	11
6	small	muic	0	12
6	red	lann	0	13
7	olm	big	0.82	4
7	muic	big	0.69	5
7	muic	red	0.77	6
7	green	muic	0.06	7
7	green	olm	0.91	8
7	red	olm	0.08	9
7	olm	muic	0.9	10
7	olm	muic	0.78	11
7	small	muic	0	12
7	small	olm	0.01	13
8	small	olm	0.06	4
8	olm	green	0.98	5
8	cref	blue	0.94	6
8	olm	cref	0.04	7
8	green	cref	0.92	8
8	olm	blue	0.01	9
8	cref	big	0.95	10
8	cref	small	0.94	11
8	cref	olm	0.94	12
8	olm	big	0.93	13
