workerid	predicate2	predicate1	response	slide_number
0	red	cref	0.63	4
0	cref	muic	0.25	5
0	muic	cref	0.79	6
0	small	cref	0.65	7
0	cref	big	0.7	8
0	green	cref	0.69	9
0	muic	green	0.32	10
0	red	muic	0.66	11
0	muic	big	0.73	12
0	small	muic	0.67	13
1	olm	cref	0.95	4
1	small	olm	0.01	5
1	small	cref	0.03	6
1	green	cref	0.01	7
1	cref	big	0.98	8
1	green	olm	0.05	9
1	olm	red	0.98	10
1	cref	red	1	11
1	cref	olm	0.98	12
1	olm	big	0.98	13
2	olm	small	0.28	4
2	olm	green	0.72	5
2	twell	small	0.24	6
2	big	twell	0.26	7
2	big	olm	0.29	8
2	twell	blue	0.47	9
2	blue	olm	0.18	10
2	twell	olm	0.72	11
2	twell	olm	0.76	12
2	twell	green	0.18	13
3	lann	twell	0.82	4
3	lann	twell	0.33	5
3	big	twell	0.01	6
3	big	lann	0.03	7
3	lann	blue	0.97	8
3	green	twell	0.02	9
3	lann	small	0.95	10
3	blue	twell	0.05	11
3	lann	green	1	12
3	small	twell	0.04	13
4	muic	small	0.92	4
4	green	muic	0.07	5
4	cref	red	0.94	6
4	cref	muic	0.09	7
4	cref	green	0.93	8
4	big	cref	0.08	9
4	big	muic	0.09	10
4	cref	muic	0.17	11
4	small	cref	0.13	12
4	red	muic	0.08	13
5	big	cref	0.17	4
5	cref	red	0.02	5
5	cref	small	0.84	6
5	muic	big	0.89	7
5	small	muic	0.13	8
5	red	muic	0.16	9
5	muic	cref	0.55	10
5	green	muic	0.86	11
5	cref	muic	0.58	12
5	green	cref	0.71	13
6	big	olm	0	4
6	lann	big	1	5
6	lann	blue	1	6
6	small	lann	0	7
6	lann	olm	1	8
6	green	olm	0	9
6	green	lann	0	10
6	lann	olm	1	11
6	blue	olm	0	12
6	small	olm	0	13
7	twell	small	0.85	4
7	lann	big	0.85	5
7	twell	red	0.18	6
7	lann	twell	0.82	7
7	twell	green	0.82	8
7	twell	lann	0.91	9
7	lann	small	0.83	10
7	lann	red	0.87	11
7	green	lann	0.15	12
7	big	twell	0.12	13
8	cref	lann	0.16	4
8	small	cref	0.17	5
8	red	cref	0.08	6
8	small	lann	0.14	7
8	green	lann	0.11	8
8	red	lann	0.15	9
8	lann	cref	0.25	10
8	lann	big	0.9	11
8	cref	green	0.9	12
8	cref	big	0.89	13
