workerid	predicate2	predicate1	response	slide_number
0	twell	lann	0.96	4
0	small	lann	0.05	5
0	green	lann	0.01	6
0	green	twell	0.99	7
0	small	twell	0.09	8
0	twell	lann	0.93	9
0	big	twell	0.07	10
0	twell	blue	0.97	11
0	lann	big	0.97	12
0	lann	blue	0.05	13
1	small	olm	0	4
1	green	lann	0.28	5
1	lann	red	0.77	6
1	lann	olm	0.21	7
1	olm	big	0.77	8
1	olm	lann	0.77	9
1	olm	red	0.78	10
1	small	lann	0.18	11
1	big	lann	0.19	12
1	olm	green	0.89	13
2	big	muic	0.14	4
2	small	cref	0.15	5
2	cref	muic	0.13	6
2	small	muic	0.08	7
2	muic	blue	0.93	8
2	cref	blue	0.91	9
2	red	cref	0.07	10
2	cref	big	0.98	11
2	cref	muic	0.91	12
2	red	muic	0.06	13
3	big	muic	0	4
3	muic	cref	0.95	5
3	small	cref	0.01	6
3	muic	red	1	7
3	red	cref	0	8
3	muic	small	1	9
3	green	cref	0	10
3	cref	muic	0.52	11
3	cref	big	1	12
3	green	muic	0	13
4	muic	lann	1	4
4	small	muic	0.92	5
4	lann	green	0.95	6
4	red	muic	1	7
4	muic	green	0.96	8
4	small	lann	0.96	9
4	big	muic	0.04	10
4	lann	red	0.99	11
4	lann	big	0.93	12
4	lann	muic	0.04	13
5	small	lann	0.02	4
5	blue	lann	0.02	5
5	lann	olm	0.02	6
5	big	olm	0.95	7
5	red	lann	0.05	8
5	lann	big	0.06	9
5	red	olm	0.07	10
5	olm	blue	0.06	11
5	small	olm	0.03	12
5	olm	lann	0.93	13
6	cref	small	0.79	4
6	cref	red	0.81	5
6	big	lann	0.07	6
6	lann	cref	0.85	7
6	lann	red	0.79	8
6	lann	cref	0.83	9
6	green	lann	0.06	10
6	cref	big	0.89	11
6	small	lann	0.13	12
6	green	cref	0.13	13
7	red	olm	0	4
7	twell	olm	1	5
7	twell	small	1	6
7	big	olm	0	7
7	twell	red	1	8
7	olm	small	1	9
7	big	twell	0	10
7	blue	twell	0.99	11
7	blue	olm	1	12
7	twell	olm	1	13
8	green	muic	0.83	4
8	small	lann	0.17	5
8	lann	big	0.83	6
8	muic	red	0.91	7
8	lann	muic	0.89	8
8	muic	lann	0.89	9
8	small	muic	0	10
8	red	lann	0.03	11
8	big	muic	0.06	12
8	green	lann	0.09	13
