workerid	predicate2	predicate1	response	slide_number
0	twell	muic	0.99	4
0	blue	muic	0.02	5
0	muic	small	0.94	6
0	twell	big	0.94	7
0	small	twell	0.03	8
0	muic	twell	0.82	9
0	twell	red	1	10
0	big	muic	0.05	11
0	blue	twell	0.05	12
0	red	muic	0.03	13
1	red	cref	0.38	4
1	cref	muic	0.12	5
1	small	cref	0	6
1	muic	big	0.82	7
1	muic	small	0.84	8
1	cref	muic	0.79	9
1	blue	cref	0.19	10
1	red	muic	0.09	11
1	blue	muic	0.13	12
1	big	cref	0.19	13
2	olm	lann	0.99	4
2	green	lann	0.02	5
2	olm	lann	0.02	6
2	big	olm	0.04	7
2	green	olm	0.03	8
2	small	olm	0.03	9
2	lann	small	0.99	10
2	red	olm	0.02	11
2	red	lann	0.02	12
2	big	lann	0.02	13
3	green	muic	0.31	4
3	small	muic	0.3	5
3	small	lann	0.25	6
3	big	muic	0.25	7
3	muic	lann	0.52	8
3	red	muic	0.23	9
3	lann	muic	0.51	10
3	red	lann	0.49	11
3	lann	green	0.82	12
3	big	lann	0.2	13
4	cref	small	0.95	4
4	lann	cref	0.04	5
4	lann	green	0.96	6
4	green	cref	0.04	7
4	small	lann	0.08	8
4	big	lann	0.05	9
4	red	lann	0.02	10
4	cref	big	0.94	11
4	cref	red	0.97	12
4	cref	lann	0.08	13
5	lann	big	1	4
5	cref	red	1	5
5	cref	lann	1	6
5	lann	small	1	7
5	blue	lann	0	8
5	cref	blue	1	9
5	red	lann	0	10
5	cref	big	1	11
5	cref	small	1	12
5	cref	lann	1	13
6	blue	lann	0.04	4
6	green	cref	0.05	5
6	cref	lann	0.92	6
6	lann	big	0.95	7
6	lann	cref	0.99	8
6	lann	green	0.99	9
6	cref	big	0.95	10
6	cref	blue	0.94	11
6	small	cref	0.01	12
6	lann	small	0.98	13
7	twell	big	0.15	4
7	green	twell	0.52	5
7	twell	small	0.91	6
7	muic	green	0.87	7
7	small	muic	0.19	8
7	twell	muic	0.13	9
7	muic	big	0.87	10
7	twell	muic	0.71	11
7	red	twell	0.12	12
7	red	muic	0.09	13
8	olm	cref	0.17	4
8	cref	blue	0.14	5
8	olm	cref	0.18	6
8	blue	olm	0.83	7
8	olm	green	0.12	8
8	big	cref	0	9
8	cref	small	1	10
8	olm	big	0	11
8	green	cref	0.92	12
8	small	olm	0	13
