workerid	predicate2	predicate1	response	slide_number
0	twell	red	1	4
0	red	muic	0	5
0	twell	small	1	6
0	muic	big	1	7
0	muic	twell	0	8
0	muic	small	1	9
0	twell	blue	1	10
0	twell	muic	1	11
0	muic	blue	1	12
0	big	twell	0	13
1	olm	big	0.93	4
1	lann	olm	0.93	5
1	lann	big	0.95	6
1	small	olm	0.1	7
1	red	olm	0	8
1	green	lann	0.06	9
1	lann	olm	0.93	10
1	green	olm	0.93	11
1	red	lann	0.91	12
1	small	lann	0.08	13
2	big	olm	0.11	4
2	cref	red	0.88	5
2	olm	red	0.87	6
2	big	cref	0.16	7
2	green	olm	0.07	8
2	small	olm	0.05	9
2	olm	cref	0.89	10
2	cref	small	0.89	11
2	cref	olm	0.08	12
2	green	cref	0.1	13
3	green	cref	0.04	4
3	cref	muic	0.67	5
3	cref	blue	0.79	6
3	small	muic	0.09	7
3	muic	green	0.88	8
3	muic	big	0.76	9
3	big	cref	0.07	10
3	cref	small	0.8	11
3	blue	muic	0.24	12
3	muic	cref	0.86	13
4	cref	lann	0	4
4	lann	cref	1	5
4	red	cref	0	6
4	big	cref	0	7
4	cref	small	1	8
4	lann	red	1	9
4	lann	big	1	10
4	cref	green	1	11
4	lann	small	1	12
4	green	lann	0	13
5	cref	small	0.65	4
5	muic	cref	0.65	5
5	muic	cref	0.67	6
5	big	cref	0.17	7
5	cref	red	0.75	8
5	big	muic	0.22	9
5	muic	small	0.64	10
5	red	muic	0.23	11
5	blue	muic	0.16	12
5	blue	cref	0.15	13
6	twell	small	0.49	4
6	twell	muic	0.48	5
6	muic	small	0.48	6
6	muic	red	0.51	7
6	muic	twell	0.49	8
6	red	twell	0.46	9
6	blue	twell	0.45	10
6	twell	big	0.44	11
6	muic	blue	0.56	12
6	big	muic	0.55	13
7	twell	small	1	4
7	twell	green	0.7	5
7	twell	big	0.75	6
7	green	olm	0.7	7
7	big	olm	0.75	8
7	small	olm	0.81	9
7	red	olm	0.68	10
7	red	twell	0.23	11
7	olm	twell	0.21	12
7	twell	olm	0.84	13
8	muic	small	0.98	4
8	big	cref	0.02	5
8	red	cref	0.04	6
8	muic	big	1	7
8	cref	muic	0.01	8
8	blue	muic	0.05	9
8	red	muic	0.04	10
8	small	cref	0.05	11
8	cref	muic	0.03	12
8	cref	blue	0.99	13
