workerid	predicate2	predicate1	response	slide_number
0	lann	big	0.74	4
0	red	lann	0.19	5
0	green	lann	0.16	6
0	small	lann	0.08	7
0	twell	small	0.8	8
0	lann	twell	0.17	9
0	twell	red	0.79	10
0	big	twell	0.12	11
0	twell	green	0.82	12
0	twell	lann	0.83	13
1	olm	twell	0.3	4
1	twell	red	0.67	5
1	small	olm	0.25	6
1	small	twell	0.15	7
1	twell	olm	0.78	8
1	twell	blue	0.75	9
1	olm	blue	0.77	10
1	twell	big	0.81	11
1	olm	red	0.77	12
1	big	olm	0.14	13
2	muic	green	0.2	4
2	lann	red	0.2	5
2	muic	red	0.77	6
2	big	lann	0.21	7
2	small	muic	0.13	8
2	big	muic	0.26	9
2	lann	muic	0.31	10
2	lann	small	0.17	11
2	muic	lann	0.12	12
2	lann	green	0.2	13
3	olm	lann	1	4
3	small	olm	0.05	5
3	olm	big	0.96	6
3	lann	big	1	7
3	green	olm	0.02	8
3	blue	lann	0	9
3	olm	lann	1	10
3	small	lann	0	11
3	green	lann	0	12
3	blue	olm	0	13
4	olm	small	1	4
4	small	muic	0	5
4	muic	green	0	6
4	olm	big	1	7
4	muic	blue	1	8
4	olm	green	1	9
4	olm	blue	1	10
4	olm	muic	0	11
4	olm	muic	1	12
4	muic	big	1	13
5	cref	blue	0.77	4
5	blue	muic	0	5
5	cref	muic	0.05	6
5	cref	muic	0.03	7
5	small	muic	0.04	8
5	green	cref	0.03	9
5	small	cref	0.04	10
5	cref	big	0.93	11
5	muic	green	0.97	12
5	big	muic	0.06	13
6	twell	small	0.75	4
6	green	cref	0.31	5
6	twell	cref	0.39	6
6	green	twell	0.37	7
6	big	twell	0.23	8
6	cref	big	0.68	9
6	twell	red	0.34	10
6	cref	red	0.69	11
6	twell	cref	0.35	12
6	cref	small	0.68	13
7	lann	red	0.27	4
7	big	muic	0.28	5
7	red	muic	0.22	6
7	muic	green	0.71	7
7	lann	small	0.72	8
7	lann	green	0.26	9
7	muic	small	0.73	10
7	lann	muic	0.2	11
7	big	lann	0.2	12
7	lann	muic	0.24	13
8	lann	green	1	4
8	small	cref	0.01	5
8	big	lann	0.02	6
8	green	cref	0.02	7
8	cref	lann	0.02	8
8	cref	big	0.97	9
8	lann	blue	0.98	10
8	lann	small	1	11
8	lann	cref	0.96	12
8	blue	cref	0.02	13
