workerid	predicate2	predicate1	response	slide_number
0	olm	big	0.89	4
0	small	lann	0.13	5
0	lann	olm	0.69	6
0	green	lann	0.23	7
0	lann	red	0.76	8
0	red	olm	0.1	9
0	lann	olm	0.68	10
0	big	lann	0.09	11
0	small	olm	0.02	12
0	green	olm	0.19	13
1	blue	twell	0.05	4
1	twell	red	0.98	5
1	small	cref	0	6
1	big	twell	0.03	7
1	cref	big	0.97	8
1	red	cref	0.03	9
1	small	twell	0.02	10
1	cref	blue	0.98	11
1	cref	twell	0.97	12
1	twell	cref	0.04	13
2	red	twell	0	4
2	muic	twell	0	5
2	big	twell	0	6
2	muic	twell	0.31	7
2	green	twell	0	8
2	muic	big	0.79	9
2	muic	small	0.88	10
2	green	muic	0	11
2	twell	small	0.99	12
2	red	muic	0	13
3	olm	muic	0.13	4
3	big	olm	0.14	5
3	olm	muic	0.94	6
3	olm	small	0.82	7
3	small	muic	0.08	8
3	blue	muic	0.21	9
3	blue	olm	0.16	10
3	green	muic	0.12	11
3	olm	green	0.86	12
3	muic	big	0.85	13
4	small	cref	0.02	4
4	olm	green	0.81	5
4	blue	cref	0.06	6
4	big	olm	0.24	7
4	olm	blue	0.88	8
4	green	cref	0.1	9
4	big	cref	0	10
4	small	olm	0.88	11
4	cref	olm	0.19	12
4	olm	cref	0.16	13
5	olm	blue	0.83	4
5	green	olm	0.27	5
5	muic	blue	0.8	6
5	olm	big	0.77	7
5	muic	green	0.85	8
5	big	muic	0.2	9
5	muic	olm	0.8	10
5	olm	muic	0.29	11
5	olm	small	0.87	12
5	muic	small	0.84	13
6	cref	olm	0.95	4
6	green	olm	0.92	5
6	cref	green	0.88	6
6	cref	olm	0.9	7
6	blue	olm	0.12	8
6	small	cref	0.15	9
6	cref	big	0.96	10
6	blue	cref	0.07	11
6	small	olm	0.09	12
6	big	olm	0.09	13
7	blue	cref	0.22	4
7	olm	cref	0.25	5
7	big	cref	0.14	6
7	green	cref	0.2	7
7	green	olm	0.15	8
7	blue	olm	0.08	9
7	big	olm	0.13	10
7	cref	olm	0.13	11
7	small	cref	0.21	12
7	small	olm	0.15	13
8	blue	olm	0.15	4
8	olm	big	0.88	5
8	small	olm	0.21	6
8	small	cref	0.23	7
8	olm	cref	0.86	8
8	cref	olm	0.19	9
8	cref	blue	0.85	10
8	green	olm	0.2	11
8	big	cref	0.17	12
8	cref	green	0.86	13
