workerid	predicate2	predicate1	response	slide_number
0	twell	muic	0.85	4
0	blue	muic	0.34	5
0	muic	twell	0.04	6
0	blue	twell	0.26	7
0	twell	green	0.74	8
0	muic	green	0.66	9
0	small	muic	0.02	10
0	big	muic	0.02	11
0	twell	small	0.98	12
0	big	twell	0	13
1	twell	muic	0	4
1	twell	red	1	5
1	red	muic	0	6
1	big	twell	0	7
1	green	twell	0	8
1	small	muic	0	9
1	big	muic	0	10
1	muic	green	1	11
1	twell	small	1	12
1	twell	muic	0	13
2	cref	lann	0	4
2	cref	green	1	5
2	lann	cref	0	6
2	cref	red	0	7
2	green	lann	0	8
2	cref	big	0.96	9
2	red	lann	0	10
2	lann	small	0.94	11
2	lann	big	0.99	12
2	cref	small	0.95	13
3	olm	blue	1	4
3	lann	small	1	5
3	olm	lann	1	6
3	olm	big	1	7
3	red	olm	0	8
3	big	lann	0	9
3	lann	blue	1	10
3	red	lann	0	11
3	lann	olm	1	12
3	olm	small	1	13
4	big	lann	0.15	4
4	lann	small	0.84	5
4	muic	red	0.82	6
4	lann	muic	0.8	7
4	blue	lann	0.14	8
4	lann	muic	0.8	9
4	muic	small	0.9	10
4	blue	muic	0.13	11
4	lann	red	0.9	12
4	big	muic	0.1	13
5	lann	blue	0	4
5	green	lann	1	5
5	olm	lann	0	6
5	lann	big	1	7
5	lann	small	1	8
5	big	olm	0	9
5	blue	olm	0	10
5	small	olm	0	11
5	green	olm	0	12
5	lann	olm	0	13
6	twell	lann	1	4
6	twell	small	1	5
6	red	twell	0	6
6	blue	twell	0	7
6	blue	lann	0	8
6	lann	big	1	9
6	twell	big	1	10
6	small	lann	0	11
6	twell	lann	1	12
6	lann	red	1	13
7	small	cref	0	4
7	big	olm	0	5
7	blue	olm	0	6
7	olm	small	1	7
7	red	olm	0	8
7	big	cref	0	9
7	cref	olm	0	10
7	cref	red	1	11
7	olm	cref	0	12
7	cref	blue	1	13
8	muic	big	0.96	4
8	red	twell	0	5
8	twell	big	0.98	6
8	green	twell	0	7
8	twell	muic	0	8
8	small	twell	0.06	9
8	muic	red	0.97	10
8	muic	twell	0.97	11
8	small	muic	0.05	12
8	green	muic	0	13
