workerid	predicate2	predicate1	response	slide_number
0	red	lann	0.59	4
0	cref	big	0.52	5
0	cref	red	0.62	6
0	blue	lann	0.32	7
0	lann	cref	0.61	8
0	lann	small	0.7	9
0	lann	cref	0.32	10
0	big	lann	0.67	11
0	small	cref	0.77	12
0	blue	cref	0.44	13
1	big	cref	0.04	4
1	red	twell	0.99	5
1	twell	cref	0.96	6
1	blue	twell	0.04	7
1	twell	small	0.02	8
1	cref	red	0.98	9
1	twell	cref	0.98	10
1	twell	big	0.96	11
1	small	cref	0.02	12
1	cref	blue	0.97	13
2	small	cref	0	4
2	green	cref	0	5
2	muic	cref	0	6
2	muic	small	1	7
2	big	muic	0	8
2	muic	cref	1	9
2	muic	green	1	10
2	big	cref	0.01	11
2	cref	blue	1	12
2	muic	blue	1	13
3	green	twell	0.91	4
3	green	olm	0.96	5
3	twell	big	0.9	6
3	olm	small	0.61	7
3	big	olm	0.22	8
3	twell	olm	0.86	9
3	twell	olm	0.83	10
3	twell	small	0.87	11
3	red	olm	0.12	12
3	twell	red	0.86	13
4	small	muic	0.07	4
4	red	muic	0.17	5
4	red	lann	0.73	6
4	lann	small	0.68	7
4	muic	lann	0.77	8
4	lann	big	0.94	9
4	lann	green	0.96	10
4	green	muic	0.31	11
4	big	muic	0.18	12
4	muic	lann	0.19	13
5	green	olm	0.73	4
5	red	twell	0.74	5
5	olm	big	0.82	6
5	olm	twell	0.21	7
5	olm	twell	0.29	8
5	green	twell	0.27	9
5	small	olm	0.24	10
5	twell	small	1	11
5	olm	red	0.96	12
5	twell	big	0.92	13
6	cref	olm	0.09	4
6	cref	small	0.89	5
6	olm	cref	0.93	6
6	green	olm	0.16	7
6	red	olm	0.09	8
6	red	cref	0.12	9
6	olm	small	0.96	10
6	cref	big	0.12	11
6	big	olm	0.12	12
6	cref	green	0.13	13
7	green	twell	0.75	4
7	small	twell	0.28	5
7	blue	lann	0.21	6
7	small	lann	0.15	7
7	twell	blue	0.28	8
7	twell	big	0.24	9
7	lann	twell	0.51	10
7	twell	lann	0.52	11
7	lann	big	0.83	12
7	lann	green	0.84	13
8	small	olm	0.22	4
8	blue	olm	0.23	5
8	muic	red	0.76	6
8	muic	olm	0.8	7
8	muic	olm	0.81	8
8	big	muic	0.2	9
8	olm	big	0.83	10
8	blue	muic	0.24	11
8	small	muic	0.17	12
8	red	olm	0.17	13
