workerid	adjective	free_input	slide_number	item	response
0	square		4	ID-3714264739034207157	[0.51, 0, 0, 0, 1, 0.81]
0	green		5	ID-3485648259052781625	[0, 0, 0, 0, 0.52, 0.25]
0	yellow		6	ID-2714004959873920787	[0.42, 0.59, 0.33, 0.31, 0, 0.26]
0	yellow		7	ID3362122306729425315	[0.98, 1, 0, 0, 0.65, 1]
0	bad		8	ID9084082228008276017	[0.53, 0.8, 0.52, 0.54, 0.73, 0.71]
0	sweet		9	ID1471649850670430261	[0.98, 0.56, 1, 1, 0.25, 0.51]
0	bad		10	ID6177361020918650843	[0.97, 1, 0.68, 0.02, 0.58, 0.58]
0	international		11	ID-3135096371316452356	[0.63, 0.33, 0, 0, 0.6, 0.26]
0	sweet		12	ID-2520067787488097893	[1, 0.91, 0.44, 0.43, 0.57, 0.01]
0	square		13	ID8267895534982650669	[0.59, 0.19, 0, 0.02, 0.66, 0.42]
0	thin		14	ID8009069824746517428	[1, 0.63, 0.21, 0.19, 0.46, 0.49]
0	white		15	ID-7604764034200643533	[1, 0.98, 0, 0, 0.48, 0.65]
0	green		16	ID-9149515788999811206	[0, 1, 0, 0.46, 0.62, 0.7]
0	international		17	ID6299927804894587493	[1, 0.98, 0.02, 0.02, 0.75, 1]
0	white		18	ID1310770204776211351	[0.99, 0.97, 0, 0.02, 1, 1]
1	biggest	She had already felt that way before they had the conversa	4	ID810042685213155155	[0.06, 0.03, 0.97, 0.93, 0.06, 0.49]
1	designated		5	ID-5997516836516266787	[0.25, 0.27, 0.07, 0.04, 0.97, 0.94]
1	long	To identify the length of time since they had it	6	ID-7588024962147698843	[0.07, 0.09, 0.09, 0, 0.57, 0.61]
1	black		7	ID-399241292612919249	[1, 0.2, 0.19, 0.18, 0.88, 0.97]
1	short		8	ID7735801351463350458	[0.59, 0.1, 0.1, 0.37, 0.84, 0.83]
1	long		9	ID-3953067960638892513	[0.06, 0.08, 0.51, 0.51, 0.72, 0.94]
1	purple		10	ID-3662119969261491655	[0.99, 0.54, 0.04, 0.05, 0.97, 0.99]
1	black	Black market is more of a type of market not color	11	ID-8986963022196117623	[0.07, 0.95, 0.06, 0.04, 0.49, 0.95]
1	purple		12	ID7096626797855914402	[0.98, 0.08, 0.01, 0.01, 0.98, 0.99]
1	biggest		13	ID1556080401044133785	[0.25, 0.99, 0.92, 0.16, 0.77, 0.82]
1	short		14	ID3154972351204491189	[0.46, 0.46, 0.07, 0.09, 0.7, 0.7]
2	biggest		4	ID7031295074091067285	[0.56, 0.51, 0.71, 0.61, 0.49, 0.5]
2	best		5	ID-7856171624541165387	[0.71, 0.7, 0.66, 0.83, 0.58, 0.6]
2	open		6	ID-353220674095352982	[0.64, 0.69, 0.5, 0.48, 0.58, 0.5]
2	pleasant		7	ID6248439166809714890	[0.38, 0.73, 0.58, 0.58, 0.59, 0.5]
2	new		8	ID6355339232909627898	[0.7, 0.7, 0.45, 0.66, 0.49, 0.47]
2	bad		9	ID2908403009453857702	[0.7, 0.6, 0.65, 0.77, 0.6, 0.56]
2	thin		10	ID8009069824746517428	[0.48, 0.57, 0.51, 0.49, 0.51, 0.56]
2	pleasant		11	ID-6296922469614579873	[0.65, 0.58, 0.66, 0.56, 0.6, 0.59]
2	junior		12	ID670607331089613723	[0.57, 0.61, 0.58, 0.51, 0.53, 0.61]
2	junior		13	ID2897447744671657721	[0.63, 0.63, 0.6, 0.66, 0.64, 0.62]
2	open		14	ID4841031365254502390	[0.67, 0.56, 0.72, 0.56, 0.59, 0.48]
2	new		15	ID8003567981559527376	[0.58, 0.55, 0.61, 0.56, 0.53, 0.5]
2	best		16	ID7109849991183939691	[0.53, 0.65, 0.6, 0.6, 0.53, 0.73]
2	biggest		17	ID-2438479481754098778	[0.55, 0.56, 0.65, 0.52, 0.53, 0.55]
2	bad		18	ID-8078253726136443494	[0.63, 0.81, 0.63, 0.6, 0.55, 0.73]
3	mini		4	ID-8902350250748170585	[1, 0.86, 0, 0, 1, 1]
3	senior		5	ID-1084594588350708308	[0.97, 0.84, 0.26, 0.25, 1, 1]
3	senior		6	ID2295182763587065818	[1, 0.79, 0, 0, 1, 1]
3	slow		7	ID5108450626379082078	[1, 0.76, 0.62, 0.63, 1, 1]
3	square		8	ID8496214843024943527	[0.84, 0.68, 0, 0, 1, 1]
3	slow		9	ID-544292328636246415	[1, 0.82, 0.58, 0.57, 1, 1]
3	potential		10	ID-2083450061898498757	[0.66, 0.57, 0, 0, 0.69, 0.88]
3	square		11	ID8267895534982650669	[1, 0.81, 0, 0, 1, 1]
3	mini		12	ID1778432543224383612	[1, 1, 0.63, 0.64, 1, 1]
3	Japanese		13	ID-927102836565856631	[0.82, 0.73, 0.5, 0.5, 1, 1]
3	Japanese		14	ID8356604910754817486	[0.81, 0.73, 0.57, 0.57, 1, 1]
3	potential		15	ID3109804033913720730	[1, 0.9, 0, 0, 1, 1]
4	European		4	ID-6952150660372794976	[0, 0.26, 0, 0, 1, 1]
4	long		5	ID-2056704151390800892	[1, 0, 0, 0, 1, 1]
4	long		6	ID-8562293147359456031	[0.92, 0.18, 0, 0, 1, 1]
4	thin		7	ID8009069824746517428	[1, 0.77, 0, 0, 1, 0.76]
4	favorite		8	ID-656205934516973995	[0, 1, 0, 0, 1, 0.46]
4	biggest		9	ID1860735487171325409	[1, 0.77, 0.21, 0.16, 1, 0.78]
4	favorite		10	ID-64101927327311504	[0.3, 0.64, 1, 1, 1, 0.47]
4	European		11	ID-834934061382078630	[0.35, 0.82, 0.13, 0.11, 1, 1]
4	civilized		12	ID-1678381377618753752	[1, 0.29, 1, 1, 1, 0.58]
4	civilized		13	ID4313822769552962728	[0.68, 0.2, 1, 1, 1, 0.58]
4	rotten		14	ID8371175158543577514	[1, 0, 0.93, 1, 0.05, 0.51]
4	biggest		15	ID7219023366172915679	[0.29, 0.29, 0.75, 0.75, 0.63, 0.46]
5	Japanese		4	ID4998560283964040131	[0.79, 0.97, 0, 0, 1, 0]
5	best		5	ID-6655436680806240022	[0.7, 0, 0.82, 1, 1, 0.5]
5	long		6	ID7538211000157412276	[0.39, 0, 0, 0, 0.61, 0.48]
5	slow		7	ID7520403708735363795	[0.65, 0, 0.68, 0.86, 0.79, 0.52]
5	long		8	ID-3067912918089882604	[0.38, 0, 0.53, 0, 0.47, 0.41]
5	red		9	ID2566084648915910201	[1, 0.67, 0, 0, 1, 1]
5	slow		10	ID-544292328636246415	[0.64, 0, 0.67, 0.72, 0.25, 0.74]
5	red		11	ID-3097409399324913188	[1, 0.28, 0, 0, 0.54, 1]
5	white		12	ID4761601897920855242	[0.77, 0.96, 0, 0, 0.63, 0.51]
5	Japanese		13	ID-2921665751131192072	[0.63, 0.72, 0, 0, 0.72, 0.75]
5	plastic		14	ID-3125735774804524252	[1, 0.91, 0, 0, 0.85, 1]
5	plastic		15	ID-8839230632164339111	[1, 0.77, 0, 0, 0.8, 0.97]
5	best		16	ID5256626130588784810	[0, 0, 0.91, 0.89, 0.24, 0.57]
5	white		17	ID-6130036365824967128	[1, 0.8, 0, 0, 0.98, 0.97]
6	long		4	ID-3067912918089882604	[0.17, 0.28, 0.82, 0.73, 0.75, 0.8]
6	good		5	ID-8008326868703364468	[0.62, 0.17, 0.89, 0.91, 0.22, 0.5]
6	fast		6	ID7727431415833633460	[0.67, 0.16, 0.36, 0.31, 0.57, 0.78]
6	short		7	ID-3046236862592438215	[0.58, 0.17, 0.18, 0.25, 0.31, 0.58]
6	purple		8	ID-3662119969261491655	[0.74, 0.69, 0.16, 0.18, 0.36, 0.88]
6	speedy		9	ID-4197958317879714769	[0.87, 0.19, 0.32, 0.27, 0.46, 0.75]
6	everyday		10	ID494622424865475232	[0.86, 0.31, 0.38, 0.29, 0.27, 1]
6	long		11	ID2819745971115098612	[0.83, 0.8, 0.79, 0.78, 0.2, 0.77]
6	good		12	ID8772331439899665725	[0.8, 0.8, 0.79, 0.82, 0.24, 0.57]
6	everyday		13	ID-4810643076988924172	[0.81, 0.8, 0.22, 0.22, 0.21, 0.8]
6	short		14	ID-4212964820205484893	[0.76, 0.75, 0.76, 0.26, 0.24, 0.71]
6	speedy		15	ID6114790369459575016	[0.82, 0.8, 0.32, 0.27, 0.23, 0.83]
6	purple		16	ID7096626797855914402	[0.83, 0.86, 0.23, 0.22, 0.26, 0.88]
6	fast		17	ID8045614745075985207	[0.82, 0.82, 0.17, 0.23, 0.23, 0.78]
7	small		4	ID6139806095438375840	[0.81, 0, 0.89, 0.89, 0.5, 0.63]
7	small		5	ID-3140781449157830175	[0.82, 0.23, 0.81, 1, 0.48, 0.45]
7	English		6	ID-7321324400980950546	[0.57, 0.68, 0.16, 0.07, 0.3, 0.31]
7	slow		7	ID286325180184376844	[0.91, 0.88, 0.49, 0.77, 0.79, 0.75]
7	young		8	ID-8084860261602840330	[0.65, 0.21, 0.24, 0.59, 0.79, 0.33]
7	strict		9	ID1824903456246556943	[0.81, 0.5, 0.75, 0.58, 0.35, 0.35]
7	English		10	ID6373876398377029692	[0.71, 0.82, 0.17, 0.1, 0.79, 0.84]
7	slow		11	ID-6718324080844892343	[0.84, 0.8, 0.87, 0.32, 0.92, 0.68]
7	European		12	ID-3142369930019850980	[0.59, 0.97, 0.28, 0.29, 0.98, 0.58]
7	strict		13	ID-6143971922329645882	[0.77, 0.43, 0.72, 0.79, 0.49, 0.53]
7	young		14	ID986775924920499664	[0.03, 0.07, 0.48, 0.5, 0.07, 0.12]
7	European		15	ID-834934061382078630	[0.57, 0.63, 0.72, 0.78, 0.32, 0.83]
7	creative		16	ID6124288405364996293	[0.41, 0.66, 0.79, 0.68, 0.82, 0.82]
7	creative		17	ID5753083403750895831	[0.75, 0.78, 0.93, 0, 0.86, 0.98]
