workerid	adjective	free_input	slide_number	item	response
0	last		4	ID2715788067622942343	[0.05, 0.78, 0.08, 0.07, 0.86, 0.78]
0	last		5	ID-398673718016456321	[0.66, 0.87, 0.08, 0.02, 0.9, 0.9]
0	internal		6	ID-4630982822800914302	[0.9, 0.78, 0.05, 0.08, 0.89, 0.95]
0	thin		7	ID8009069824746517428	[0.91, 0.67, 0.21, 0.22, 0.83, 0.92]
0	huge		8	ID3907525813364243478	[0.91, 0.39, 0.35, 0.35, 0.86, 0.63]
0	fresh		9	ID7121232544474747394	[0.92, 0.48, 0.57, 0.6, 0.89, 0.91]
0	everyday		10	ID-8928099115955854608	[0.91, 0.32, 0.26, 0.29, 0.73, 0.84]
0	internal		11	ID1870263281493409070	[0.68, 0.35, 0.25, 0.26, 0.68, 0.66]
0	gold		12	ID-7219182823663755792	[0.86, 0.61, 0.08, 0.09, 0.9, 0.89]
0	everyday		13	ID-1799459231327320598	[0.71, 0.56, 0.3, 0.29, 0.85, 0.79]
0	different		14	ID-3037295095380922929	[0.88, 0.49, 0.4, 0.45, 0.71, 0.63]
0	fresh		15	ID1609558782465421792	[0.91, 0.69, 0.56, 0.55, 0.79, 0.62]
0	different		16	ID-1375562188535103882	[0.84, 0.52, 0.18, 0.18, 0.79, 0.65]
0	huge		17	ID7121411434470971143	[0.85, 0.28, 0.13, 0.16, 0.84, 0.83]
0	gold		18	ID3128218296211194461	[0.9, 0.6, 0.17, 0.16, 0.9, 0.92]
1	sad		4	ID-5672600010581138897	[0.98, 0.02, 0.97, 0.96, 0.99, 0.94]
1	sad		5	ID2706282012908651006	[0.95, 0.03, 0.92, 0.94, 0.93, 0.97]
1	English		6	ID4995946163606209450	[0.97, 0.04, 0.05, 0.06, 0.93, 0.94]
1	creative		7	ID5753083403750895831	[0.96, 0.02, 0.69, 0.49, 0.71, 0.93]
1	open		8	ID2933010857262577318	[0.94, 0.03, 0.04, 0.06, 0.51, 0.92]
1	Hispanic		9	ID1456256076683368242	[0.93, 0.28, 0.06, 0, 0.91, 0.69]
1	Hispanic		10	ID1691791692329178142	[0.93, 0.64, 0.04, 0.04, 0.92, 0.97]
1	creative		11	ID6124288405364996293	[0.94, 0.06, 0.07, 0.05, 0.91, 1]
1	frozen		12	ID-8217707330718778834	[0.93, 0.07, 0.06, 0.06, 0.95, 1]
1	different		13	ID-7650943589976420968	[0.94, 0.07, 0.04, 0.03, 0.95, 0.98]
1	English		14	ID-7321324400980950546	[0.94, 0.96, 0.07, 0.05, 0.96, 0.93]
1	open		15	ID-3010506223512278633	[0.93, 0.94, 0.04, 0.07, 0.97, 0.92]
1	different		16	ID1503531136103693857	[0.91, 0.01, 0, 0, 1, 0.65]
2	historical		4	ID7058003965849780679	[0.83, 0.36, 0.16, 0.69, 0.65, 0.87]
2	national		5	ID9031527205290658929	[0.14, 1, 0, 0, 0.97, 0.57]
2	daily		6	ID3296062121542432250	[1, 0.68, 0, 0, 1, 0.51]
2	sad		7	ID-2393150684063833752	[1, 0.36, 0.84, 0.87, 0.23, 1]
2	historical		8	ID-8314789201168471869	[0.82, 0.16, 0.27, 0.07, 0.9, 1]
2	sweet		9	ID1471649850670430261	[1, 0.21, 0.85, 0.87, 0.12, 0.99]
2	sad		10	ID-5672600010581138897	[0.26, 0.13, 0.87, 0.95, 0.35, 0.89]
2	national		11	ID-9072941918027853204	[0.3, 0.9, 0, 0, 0.96, 0.89]
2	sweet		12	ID5083997462819673611	[0.97, 0.41, 0.65, 0.08, 0.96, 0.97]
2	different		13	ID847034846203591932	[0, 0, 0, 0, 0.68, 0.7]
2	different		14	ID-1384162672480459348	[0.5, 0.7, 0.09, 0.04, 0.64, 0.74]
2	daily		15	ID-1930964237581814899	[0.9, 0.72, 0, 0, 0.97, 0.88]
3	European		4	ID-6070501756544254210	[0.68, 0.58, 0.14, 0.17, 0.19, 0.89]
3	Hispanic		5	ID1691791692329178142	[0.73, 0.62, 0.15, 0.15, 0.64, 0.9]
3	speedy		6	ID6114790369459575016	[0.86, 0.17, 0.59, 0.59, 0.59, 0.56]
3	slow		7	ID7520403708735363795	[0.79, 0.21, 0.74, 0.74, 0.5, 0.51]
3	slow		8	ID-9021421055950096807	[0.88, 0.19, 0.78, 0.74, 0.63, 0.83]
3	thin	Pita	9	ID8009069824746517428	[0.86, 0.7, 0.21, 0.21, 0.7, 0.79]
3	European		10	ID-834934061382078630	[0.78, 0.1, 0.28, 0.29, 0.67, 0.68]
3	square		11	ID8496214843024943527	[0.84, 0.7, 0, 0, 1, 1]
3	designated		12	ID-5997516836516266787	[0.69, 0.26, 0.27, 0.27, 0.68, 1]
3	Hispanic		13	ID1456256076683368242	[0.78, 0.78, 0.67, 0.58, 1, 1]
3	speedy		14	ID-4197958317879714769	[1, 0.82, 0.71, 0.8, 1, 1]
3	square		15	ID-6481575836867173482	[1, 0.82, 0, 0, 1, 1]
4	square		4	ID-7493961569361533624	[0, 0, 0, 0, 1, 1]
4	senior		5	ID-3115115149539902521	[0, 0, 0, 0, 1, 1]
4	frozen		6	ID-8217707330718778834	[1, 0, 0, 0, 1, 1]
4	international		7	ID-652459659684135671	[1, 0, 0, 0, 1, 1]
4	international		8	ID9078043833910481379	[1, 1, 0, 0, 1, 1]
4	biggest		9	ID-43659561936237883	[0, 0, 1, 1, 0.47, 0.35]
4	potential		10	ID3109804033913720730	[0.35, 0.4, 0.56, 0.7, 0.37, 0.44]
4	biggest		11	ID939701132731627069	[0.5, 0.28, 0.68, 0.32, 0.66, 0.76]
4	potential		12	ID-2083450061898498757	[0.07, 0.85, 1, 1, 0.23, 0.37]
4	senior		13	ID2295182763587065818	[1, 1, 0.4, 0.26, 0.28, 0.52]
4	square		14	ID8496214843024943527	[1, 1, 0, 0, 0, 1]
5	gold		4	ID3128218296211194461	[0.98, 0.97, 0.99, 0.97, 1, 0.98]
5	huge		5	ID-6513991410225992506	[0.96, 0.95, 0.53, 0.53, 0.94, 0.97]
5	short		6	ID3462629553303474053	[0.95, 0.95, 0.53, 0.53, 0.98, 0.96]
5	slow		7	ID8425677819998263978	[0.08, 0.07, 0.94, 1, 0.98, 0.95]
5	potential		8	ID3109804033913720730	[0.94, 0.95, 0.49, 0.51, 0.78, 0.99]
5	slow		9	ID-6100798604296661331	[0.97, 0.92, 1, 0.96, 0.92, 0.96]
5	senior		10	ID-1084594588350708308	[0.94, 0.94, 0.42, 0.7, 0.97, 0.98]
5	potential		11	ID-2083450061898498757	[0.98, 0.96, 0.8, 0.57, 0.7, 0.99]
5	historical		12	ID7058003965849780679	[0.97, 0.96, 0.76, 0.98, 0.96, 1]
5	huge		13	ID1657334024865047332	[0.99, 0.99, 0.96, 0.95, 0.98, 0.97]
5	mini		14	ID-394383747474963947	[1, 0.97, 0.94, 0.95, 0.94, 0.96]
5	gold		15	ID-7046654633869604010	[0.97, 0.97, 0.7, 0.81, 0.99, 0.98]
5	senior		16	ID-3115115149539902521	[0.62, 0.73, 0.57, 0.56, 0.97, 0.97]
5	short		17	ID6830172691904104437	[0.97, 0.95, 0.98, 0.98, 0.98, 0.94]
5	historical		18	ID-8314789201168471869	[0.95, 0.96, 0.93, 1, 0.94, 0.96]
5	mini		19	ID-1098724424280658501	[0.95, 0.97, 0.58, 0.56, 0.94, 0.97]
6	everyday		4	ID526433368362612872	[0.03, 0.03, 0.16, 0.02, 0.49, 0.48]
6	good	To equate the kind of friend with the close relationship he has with his family.	5	ID-6328117237092007333	[0.73, 0.57, 0.84, 0.84, 0.72, 0.47]
6	open	An "open-house" party is a different kind of party in that people just drop by during a certain time frame.	6	ID7593029700642934142	[0.82, 0.64, 0.18, 0.17, 0.77, 0.6]
6	white		7	ID6657135252737998292	[0.82, 0.81, 0.17, 0.35, 0.66, 0.79]
6	mini	"Mini-van" is a specific type of vehicle.	8	ID2229818972022238444	[0.89, 0.87, 0.32, 0.32, 0.7, 0.69]
6	white		9	ID1853222988172045272	[0.12, 0.14, 0.14, 0.11, 0.57, 0.56]
6	good		10	ID3939662421362532016	[0.35, 0.33, 0.59, 0.6, 0.71, 0.56]
6	open		11	ID6648535603006028058	[0.81, 0.79, 0.33, 0.62, 0.82, 0.7]
