workerid	adjective	free_input	slide_number	item	response
0	everyday		3	ID-1799459231327320598	[1, 1, 1, 1, 1, 0]
0	new		4	ID8003567981559527376	[1, 0, 1, 1, 1, 1]
0	English		5	ID6373876398377029692	[1, 1, 0, 0, 1, 1]
0	huge		6	ID-7868386742045312165	[1, 1, 1, 0, 1, 1]
0	young		7	ID-8711426178457758048	[1, 0, 0, 0, 1, 1]
0	pleasant		8	ID-3778400048685152067	[1, 0, 1, 1, 0.96, 0.96]
0	square		9	ID-6481575836867173482	[0, 0, 0, 0, 0.51, 0.51]
0	English		10	ID-5414478402661406026	[1, 1, 0, 0, 0.46, 0]
0	creative		11	ID6124288405364996293	[1, 1, 1, 1, 0.56, 1]
0	plastic		12	ID-746751146888509894	[1, 0.98, 0, 0, 1, 1]
0	creative		13	ID5753083403750895831	[1, 0, 0, 0, 1, 1]
0	frozen		14	ID-8217707330718778834	[1, 0, 0, 0, 1, 1]
0	mixed		15	ID6231458877675286261	[0.45, 0, 0, 1, 0, 0]
0	square		16	ID-3714264739034207157	[0, 0, 0, 0, 0.48, 0.49]
0	huge		17	ID3907525813364243478	[0.99, 0, 1, 1, 0.55, 1]
0	Hispanic		18	ID1691791692329178142	[1, 1, 0.5, 0, 1, 1]
0	open		19	ID6648535603006028058	[1, 0.51, 0, 0, 1, 1]
0	young		20	ID-3147689251737056960	[1, 0.49, 0, 0, 1, 1]
0	plastic		21	ID-3125735774804524252	[1, 0.9, 0, 0, 1, 1]
0	everyday		22	ID-2644066206228095	[0.55, 0.7, 1, 1, 1, 1]
0	Hispanic		23	ID1456256076683368242	[1, 0.71, 0, 0, 1, 0.65]
0	mixed		24	ID8052979343528890457	[1, 0.82, 0, 0, 1, 1]
0	gold		25	ID-7046654633869604010	[1, 0.7, 0.78, 0.69, 0.3, 0.99]
0	open		26	ID2933010857262577318	[0.77, 1, 0.15, 0.21, 0.83, 0.47]
0	tiny		27	ID-8897455229661989701	[0.02, 0.11, 0.6, 0.48, 0.3, 0.48]
0	bad		28	ID9174946725381187397	[1, 0.75, 1, 1, 0.72, 1]
0	pleasant		29	ID971357498730223238	[0.9, 0.83, 0.24, 0.13, 0.23, 0.5]
0	gold		30	ID-7219182823663755792	[0.47, 0.71, 0, 0, 0.43, 0.49]
0	new		31	ID-7391795501211439517	[0.54, 0.39, 0.71, 0.58, 1, 0.94]
0	red		32	ID2566084648915910201	[1, 1, 0, 0, 1, 1]
0	red		33	ID-4065489158622897103	[0.86, 0.9, 0, 0, 1, 0.93]
0	tiny		34	ID2869020539695153941	[0.79, 0.28, 1, 1, 0.26, 1]
0	bad		35	ID-1921330552127678197	[1, 1, 0.82, 0.85, 1, 1]
