workerid	adjective	free_input	slide_number	item	response
0	different		3	ID2974269079957890025	[0.91, 0.44, 0.5, 0.53, 0.35, 0.49]
0	soft		4	ID5990462742579204082	[0.9, 0.72, 0.82, 0.87, 0.88, 0.29]
0	bad		5	ID-7968207246109276833	[0.78, 0.34, 0.82, 0.94, 0.59, 0.54]
0	soft		6	ID-3050424516553022375	[0.83, 0.39, 0.66, 0.78, 0.52, 0.5]
0	different		7	ID4487128556061527165	[0.82, 0.31, 0.84, 0.49, 0.71, 0.77]
0	favorite		8	ID-64101927327311504	[0.52, 0.18, 0.91, 0.86, 0.32, 0.32]
0	long		9	ID-4279844298903425100	[0.95, 0.96, 0.69, 0.83, 0.46, 0.8]
0	thin		10	ID8009069824746517428	[0.61, 0.26, 0.51, 0.46, 0.57, 0.17]
0	favorite		11	ID3336377738926432579	[0.77, 0.35, 0.91, 0.87, 0.33, 0.3]
0	bad		12	ID501628227144093381	[0.74, 0.25, 0.67, 0.89, 0.2, 0.28]
0	rotten		13	ID8371175158543577514	[0.68, 0.42, 0.88, 0.98, 0.48, 0.82]
0	long		14	ID-1379329379319384514	[0.9, 0.24, 0.9, 0.9, 0.34, 0.63]
1	favorite		3	ID492294671899703895	[1, 0.33, 0.82, 0.54, 0.92, 0.48]
1	yellow		4	ID-2714004959873920787	[0.93, 0.91, 0.76, 0.87, 0.91, 0.38]
1	square		5	ID-6481575836867173482	[0.65, 0.45, 0.37, 0.17, 0.82, 0.09]
1	current		6	ID1250344863292405621	[0.63, 0.92, 0, 0, 0.93, 0.2]
1	good		7	ID-6136574699643619293	[0.86, 0.1, 0.91, 0.88, 0.54, 0.5]
1	good		8	ID-5886350633772467432	[0.89, 0.76, 0.37, 0.33, 0.76, 0.14]
1	favorite		9	ID4188319348282247225	[0.85, 0.71, 0.76, 0.83, 0.82, 0.05]
1	wooden		10	ID7945376460021429975	[1, 0.43, 0.19, 0.19, 0.87, 0.11]
1	current		11	ID-8720262293186423475	[0.71, 0.75, 0.14, 0.14, 0.93, 0.09]
1	yellow		12	ID6743317790005467855	[1, 0.56, 0.11, 0.13, 1, 0.07]
1	different		13	ID-908776650721553486	[0.53, 0.51, 0.14, 0.11, 0.6, 0.42]
1	wooden		14	ID8477672917922910564	[1, 0.86, 0, 0, 1, 0.51]
1	square		15	ID8496214843024943527	[0.87, 0.1, 0.04, 0.03, 0.96, 0]
1	different		16	ID3680555474833900199	[0.49, 0.56, 0, 0, 0.99, 0.02]
1	frozen		17	ID-8217707330718778834	[1, 0.61, 0.08, 0.07, 1, 0]
2	civilized	To express his feelings against capital punishment	3	ID-1678381377618753752	[0.97, 0.24, 0.67, 1, 1, 0.52]
2	strict	To stress the importance to them that the college be coed	4	ID1824903456246556943	[1, 0.65, 1, 1, 1, 0.3]
2	civilized	He was differentiating from &quotecharuncivilized&quotechar countries	5	ID4313822769552962728	[0.82, 0.86, 0.01, 0, 0.73, 1]
2	sweet	I think that he was being sarcastic and that she isn&quotechart sweet	6	ID1471649850670430261	[0, 0, 0, 0, 0, 0]
2	strict		7	ID4611411599482557921	[1, 0.78, 0, 0, 0, 0.54]
2	red	To ensure the right ingredients are used	8	ID-3097409399324913188	[1, 1, 0, 0, 1, 1]
2	red	To inform the speaker who doesn&quotechart know much about that wine	9	ID2566084648915910201	[1, 0.83, 0, 0, 1, 0.46]
2	biggest		10	ID-2167151972875552274	[0.61, 0.76, 1, 1, 1, 0.17]
2	biggest	to stress their opinions about the roads being bad	11	ID3181366932506821196	[0.51, 0.22, 0.25, 0.44, 0.61, 0.27]
2	sweet		12	ID-2520067787488097893	[1, 0.69, 0, 0, 1, 0]
3	thin		3	ID8009069824746517428	[0.93, 0.87, 0, 0, 0.87, 1]
3	speedy		4	ID7992469717327507188	[0.55, 0.14, 0, 0, 0.32, 0.14]
3	creative		5	ID6124288405364996293	[0.57, 0.34, 0.22, 0.13, 0.48, 0.13]
3	sad		6	ID-1048490381060296323	[0.76, 0.47, 1, 0.85, 0.48, 0.15]
3	creative		7	ID5753083403750895831	[0.74, 0.41, 0.16, 0.19, 0.09, 0.85]
3	old		8	ID-3932244159693320772	[0.83, 0.48, 0.57, 0.66, 0.21, 0.49]
3	sad		9	ID2131193751900020413	[0.79, 0.34, 0.88, 0.57, 0.56, 0.93]
3	strict		10	ID1824903456246556943	[0.95, 0.88, 0.86, 0.79, 1, 0.95]
3	strict		11	ID-6143971922329645882	[0.8, 0.63, 0.67, 0.83, 0.73, 0.67]
3	old		12	ID3047276406469573812	[0.78, 0.34, 0, 0.1, 0.39, 0.92]
3	speedy		13	ID-4197958317879714769	[0.86, 0.62, 0.09, 0.09, 0.43, 0.7]
3	huge		14	ID-2603099223006120955	[0.89, 0.87, 0.1, 0.18, 0.25, 0.83]
3	huge		15	ID3901542834749861473	[0.84, 0.62, 0.74, 0.12, 0.66, 0.99]
4	narrow	It was kind of hard to understand what was being said, there were quite a few grammatical mistakes.	3	ID1013345907605792478	[0.02, 0.01, 0.99, 0.98, 0.02, 0.05]
4	creative		4	ID5753083403750895831	[1, 0.52, 0.54, 0.98, 0.95, 0.95]
4	black	I thought it said yellow lab... and black lab...	5	ID-5085991219615575766	[0.97, 0.04, 0.03, 0.03, 0.96, 0.52]
4	frozen		6	ID-8217707330718778834	[0.06, 0.01, 0.01, 0.03, 0.02, 0.53]
4	creative		7	ID6124288405364996293	[0.93, 0.94, 0.05, 0.06, 0.03, 0.96]
4	different		8	ID-7650943589976420968	[0.51, 0.5, 0.5, 0.5, 0.98, 0.97]
4	current		9	ID8820685253812333318	[0.94, 0.93, 0.97, 0.96, 0.97, 0.95]
4	different		10	ID-7910923958417814974	[0.97, 0.96, 0.96, 0.97, 0.97, 0.96]
4	black		11	ID2770787262204042525	[0.97, 0.98, 0.04, 0.01, 0.97, 0.97]
4	current		12	ID9063605320783795455	[0.97, 0.97, 0.03, 0.03, 0.97, 0.97]
5	daily		3	ID-4328799890396538458	[0, 0, 0.77, 0.43, 0.56, 1]
5	everyday		4	ID-2644066206228095	[0.63, 0.17, 0.41, 0.49, 1, 1]
5	solid		5	ID222832394717555456	[0.33, 0, 0.27, 0.21, 0.54, 0.75]
5	slow		6	ID6441539514310143067	[0.83, 0.25, 1, 1, 0.5, 0.88]
5	everyday		7	ID526433368362612872	[0.27, 0.11, 0.47, 0.28, 0.5, 0.88]
5	narrow		8	ID1013345907605792478	[0.78, 0.16, 0, 0, 0.97, 0.85]
5	solid		9	ID-8339602648085241160	[0.53, 0.17, 0.09, 0.12, 0.69, 0.9]
5	daily		10	ID-6016875683349595856	[0.2, 0.12, 0.01, 0, 0.93, 0.91]
5	slow		11	ID8425677819998263978	[0.67, 0.24, 0.61, 0.57, 0.89, 0.65]
5	national		12	ID-9072941918027853204	[0.7, 0.46, 0, 0, 0.92, 0.97]
5	green		13	ID-7633780709882614276	[0.78, 0.44, 0, 0, 1, 1]
5	European		14	ID-9000030989875411348	[0.32, 0.1, 0, 0, 0.57, 1]
5	green		15	ID-2844138114201586402	[1, 0.46, 0, 0, 1, 1]
5	European		16	ID-6070501756544254210	[0.3, 0.19, 0.06, 0.05, 0.78, 0.92]
5	thin		17	ID8009069824746517428	[0.2, 0.29, 0.01, 0, 0.83, 0.9]
5	national		18	ID8041455105538908511	[0.17, 0.08, 0.16, 0.15, 0.62, 0.77]
6	civilized		3	ID-1678381377618753752	[1, 0.42, 0, 0.08, 0.09, 0.43]
6	different		4	ID8413981953658275236	[0, 0, 0, 0.12, 0.07, 0.96]
6	European		5	ID-3142369930019850980	[0.69, 0.13, 0.07, 0.07, 0.07, 0.03]
6	brown		6	ID-7952394091696252548	[0.42, 0.72, 0.06, 0.12, 0.14, 0]
6	speedy		7	ID7992469717327507188	[0.65, 0.8, 0.73, 0.64, 0.12, 0.21]
6	civilized		8	ID4313822769552962728	[0.62, 0.29, 0.4, 0.59, 0.85, 0.68]
6	European		9	ID-2624292054231705036	[0.63, 0.36, 0.15, 0.27, 0.33, 0.12]
6	brown		10	ID-4658800627109253801	[0, 0, 0, 0, 0.75, 0]
6	big		11	ID3313074328851601683	[0.61, 0.69, 0.18, 0.75, 0.23, 0.82]
6	circular		12	ID3434402844156560576	[0.82, 0.44, 0, 0, 0.19, 1]
6	different		13	ID-1384162672480459348	[0.8, 0.44, 0, 0.18, 0.72, 0.77]
6	speedy		14	ID191885971372213702	[0.75, 0.59, 0.25, 0.42, 0.57, 0.52]
6	sad		15	ID-2393150684063833752	[0.85, 0.62, 0.77, 0.68, 0, 0.87]
