workerid	relevant_adjective_id	relevant_adjective	text	correct2	slide_number	correct1	predicate2	predicate1	response
0	0	NA	NA	0.85	4	0.8	NA	NA	0.69
0	0	NA	NA	0.2	5	0.95	NA	NA	0
0	1	NA	NA	1	6	1	NA	NA	0.94
0	1	NA	NA	0	7	0	NA	NA	0
0	0	NA	NA	0.3	8	0.8	NA	NA	0.39
0	1	NA	NA	1	9	1	NA	NA	0.96
0	1	NA	NA	1	10	1	NA	NA	0.97
0	0	NA	NA	0.3	11	0.5	NA	NA	0.68
0	0	NA	NA	0.2	12	0.95	NA	NA	0.55
0	NA	physs	For long distances, I use saucers. The best one is this...	NA	14	NA	physs	red	0.9
0	NA	green	I like ships that have the same color as I have, like this...	NA	15	NA	physs	green	0.15
0	NA	lann	You like it? Wow, I hate flying this...	NA	16	NA	lann	red	0.88
0	NA	physs	My first ship had the same shape as this...	NA	17	NA	physs	red	0.93
0	NA	NONE	On our planet, many aliens fly ships like this...	NA	18	NA	red	physs	0.89
0	NA	lann	Wow, such a nice ship &#8210; I like this...	NA	19	NA	lann	blue	0.9
0	NA	NONE	My friend used to fly this...	NA	20	NA	blue	lann	0.07
0	NA	lann	The more teleporters, the better. My favorite one is this...	NA	21	NA	physs	lann	0.96
0	NA	physs	Humans think all of our ships look like rockets, like this...	NA	22	NA	physs	red	0.94
0	NA	blue	What a nice color. I like flying this...	NA	23	NA	lann	blue	0.92
0	NA	lann	I really don&quotechart like ships like this...	NA	24	NA	physs	lann	0.06
0	NA	NA	NA	NA	26	NA	physs	green	0.91
0	NA	NA	NA	NA	27	NA	lann	red	0.93
0	NA	NA	NA	NA	28	NA	small	green	0.01
0	NA	NA	NA	NA	29	NA	big	physs	0.03
0	NA	NA	NA	NA	30	NA	red	physs	0.09
0	NA	NA	NA	NA	31	NA	big	lann	0.11
0	NA	NA	NA	NA	32	NA	blue	small	0.1
0	NA	NA	NA	NA	33	NA	physs	small	0.93
0	NA	NA	NA	NA	34	NA	lann	blue	0.91
0	NA	NA	NA	NA	35	NA	small	lann	0.05
0	NA	NA	NA	NA	36	NA	blue	physs	0.09
0	NA	NA	NA	NA	37	NA	green	big	0.96
0	NA	NA	NA	NA	38	NA	lann	green	0.88
0	NA	NA	NA	NA	39	NA	lann	physs	0.9
1	0	NA	NA	0.2	4	0.95	NA	NA	1
1	1	NA	NA	1	5	1	NA	NA	0.08
1	1	NA	NA	1	6	1	NA	NA	0.98
1	0	NA	NA	0.3	7	0.5	NA	NA	1
1	1	NA	NA	0	8	0	NA	NA	0.65
1	1	NA	NA	1	9	1	NA	NA	0.99
1	0	NA	NA	0.2	10	0.95	NA	NA	0
1	0	NA	NA	0.85	11	0.8	NA	NA	0.22
1	0	NA	NA	0.3	12	0.8	NA	NA	0
1	NA	red	What a nice color. I like flying this...	NA	14	NA	physs	red	0.95
1	NA	physs	You like it? Wow, I hate flying this...	NA	15	NA	physs	red	0.96
1	NA	scrib	Humans think all of our ships look like rockets, like this...	NA	16	NA	blue	scrib	0.02
1	NA	physs	The more teleporters, the better. My favorite one is this...	NA	17	NA	physs	scrib	0.95
1	NA	physs	I really don&quotechart like ships like this...	NA	18	NA	scrib	physs	0.97
1	NA	NONE	My friend used to fly this...	NA	19	NA	physs	green	0.11
