workerid	noun	distractorValues	item	slide_number	imgs	predicate2	predicate1	response	condition
0	ball	[u'red', u'spotted', u'blue', u'striped']	[u'green', u'checkered']	3	[[u'green_checkered_ball.png', u'target'], [u'blue_spotted_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'green_spotted_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'red_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other']]	checkered	green	0.08	first_informative
0	ball	[u'red', u'solid', u'green', u'spotted']	[u'blue', u'striped']	4	[[u'green_solid_ball.png', u'other'], [u'green_spotted_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'blue_striped_ball.png', u'target'], [u'green_spotted_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other']]	blue	striped	0.33	first_informative
0	cup	[u'green', u'glass', u'blue', u'plastic']	[u'red', u'metal']	5	[[u'red_glass_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'red_metal_cup.png', u'target'], [u'green_glass_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_glass_cup.png', u'other']]	metal	red	0.46	first_informative
0	ball	[u'green', u'striped', u'red', u'checkered']	[u'blue', u'solid']	6	[[u'green_checkered_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'red_checkered_ball.png', u'other'], [u'blue_solid_ball.png', u'target'], [u'green_checkered_ball.png', u'other'], [u'green_striped_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'green_solid_ball.png', u'other']]	blue	solid	0.78	second_informative
0	cup	[u'green', u'wooden', u'blue', u'glass']	[u'red', u'plastic']	7	[[u'green_glass_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'red_plastic_cup.png', u'target'], [u'green_plastic_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'red_wooden_cup.png', u'other'], [u'blue_plastic_cup.png', u'other']]	red	plastic	0.69	filler
0	ball	[u'green', u'spotted', u'blue', u'solid']	[u'red', u'striped']	8	[[u'red_spotted_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'green_striped_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'red_striped_ball.png', u'target'], [u'green_striped_ball.png', u'other'], [u'green_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'green_striped_ball.png', u'other']]	striped	red	0.67	first_informative
0	cup	[u'blue', u'glass', u'red', u'plastic']	[u'green', u'metal']	9	[[u'green_metal_cup.png', u'target'], [u'green_glass_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'blue_plastic_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'green_glass_cup.png', u'other']]	green	metal	0.39	second_informative
0	cup	[u'green', u'wooden', u'red', u'plastic']	[u'blue', u'metal']	10	[[u'blue_metal_cup.png', u'target'], [u'blue_wooden_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'red_metal_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_wooden_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'blue_wooden_cup.png', u'other']]	metal	blue	0.6	filler
0	ball	[u'blue', u'spotted', u'green', u'checkered']	[u'red', u'solid']	11	[[u'red_spotted_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'green_solid_ball.png', u'other'], [u'red_solid_ball.png', u'target'], [u'blue_solid_ball.png', u'other'], [u'blue_solid_ball.png', u'other'], [u'blue_checkered_ball.png', u'other'], [u'red_spotted_ball.png', u'other'], [u'green_checkered_ball.png', u'other'], [u'red_spotted_ball.png', u'other']]	red	solid	0.71	filler
0	ball	[u'blue', u'striped', u'red', u'solid']	[u'green', u'spotted']	12	[[u'blue_spotted_ball.png', u'other'], [u'red_striped_ball.png', u'other'], [u'red_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'green_spotted_ball.png', u'target'], [u'green_striped_ball.png', u'other'], [u'red_solid_ball.png', u'other'], [u'blue_spotted_ball.png', u'other'], [u'blue_striped_ball.png', u'other'], [u'red_striped_ball.png', u'other']]	green	spotted	0.65	first_informative
0	cup	[u'red', u'glass', u'green', u'metal']	[u'blue', u'plastic']	13	[[u'green_glass_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'green_glass_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'blue_glass_cup.png', u'other'], [u'red_glass_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'blue_plastic_cup.png', u'target']]	blue	plastic	0.67	first_informative
0	cup	[u'green', u'plastic', u'blue', u'metal']	[u'red', u'wooden']	14	[[u'red_plastic_cup.png', u'other'], [u'green_plastic_cup.png', u'other'], [u'blue_metal_cup.png', u'other'], [u'red_plastic_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'red_wooden_cup.png', u'target'], [u'blue_metal_cup.png', u'other'], [u'green_wooden_cup.png', u'other'], [u'green_metal_cup.png', u'other'], [u'red_plastic_cup.png', u'other']]	red	wooden	0.36	second_informative
