workerid	adjective	quiz_response	relevant_adjective	adj2_subj	text	adj2_disagreement	order_questionnaires	adj1_disagreement	correct_response	adj1_subj	adj1_response	slide_number	predicate2	predicate1	response	adj2_response
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	6	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	7	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	8	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	9	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	10	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	11	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	12	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	13	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	14	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	15	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	16	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	17	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	18	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	19	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	20	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	21	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	22	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	23	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	24	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	25	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	26	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	27	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	28	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	29	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	30	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	31	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	32	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	33	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	34	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	35	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	36	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	37	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	38	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	39	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	40	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	41	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	42	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	43	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	44	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	45	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	46	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	47	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	48	NA	NA	NA	NA
0	trunce	second	NA	NA	NA	NA	NA	NA	second	NA	NA	49	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	second	NA	NA	50	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	51	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	52	NA	NA	NA	NA
0	trunce	first	NA	NA	NA	NA	NA	NA	first	NA	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	green	big	0.96	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	thompsy	green	0.96	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	blue	small	0.93	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	small	thompsy	0.06	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	blue	thompsy	0.05	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	small	trunce	0.05	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	blue	trunce	0.02	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	trunce	red	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	blue	small	0.93	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	red	thompsy	0.02	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	green	trunce	0.05	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66	trunce	thompsy	0.95	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	thompsy	big	0.94	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	trunce	big	0.97	NA
0	NA	NA	thompsy	NA	I like ships that have this color, like this...	NA	NA	NA	NA	NA	NA	70	thompsy	blue	0.04	NA
0	NA	NA	thompsy	NA	My first ship had the same shape as this...	NA	NA	NA	NA	NA	NA	71	thompsy	trunce	0.03	NA
0	NA	NA	red	NA	On our planet, many aliens fly ships like this...	NA	NA	NA	NA	NA	NA	72	trunce	red	0.92	NA
0	NA	NA	thompsy	NA	I really don&quotechart like ships like this...	NA	NA	NA	NA	NA	NA	73	thompsy	trunce	0.07	NA
0	NA	NA	blue	NA	My friend used to fly this...	NA	NA	NA	NA	NA	NA	74	blue	thompsy	0.04	NA
0	NA	NA	trunce	NA	What a nice color. I like flying this...	NA	NA	NA	NA	NA	NA	75	green	trunce	0.07	NA
0	NA	NA	trunce	NA	For long distances, I use this...	NA	NA	NA	NA	NA	NA	76	trunce	blue	0.97	NA
0	NA	NA	trunce	NA	I like ships of this type. My favorite one is this...	NA	NA	NA	NA	NA	NA	77	trunce	blue	0.95	NA
0	NA	NA	NONE	NA	Wow -- I like this...	NA	NA	NA	NA	NA	NA	78	trunce	green	0.97	NA
0	NA	NA	thompsy	NA	Humans think all of our ships look like this...	NA	NA	NA	NA	NA	NA	79	red	thompsy	0.73	NA
0	NA	NA	NONE	NA	Ugh, I hate flying this...	NA	NA	NA	NA	NA	NA	80	thompsy	green	0.9	NA
0	NA	NA	NA	0.19	NA	NA	[1, 0]	NA	NA	0.21	NA	81	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	0.22	[1, 0]	0.34	NA	NA	NA	82	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	NA	[1, 0]	NA	NA	NA	with tentacles	83	NA	NA	NA	thin and long
