workerid	adjective	quiz_response	relevant_adjective	adj2_subj	text	adj2_disagreement	order_questionnaires	adj1_disagreement	correct_response	adj1_subj	adj1_response	slide_number	predicate2	predicate1	response	adj2_response
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	6	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	7	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	8	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	9	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	first	NA	NA	10	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	11	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	12	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	13	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	14	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	15	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	16	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	17	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	18	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	19	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	20	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	21	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	22	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	23	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	24	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	25	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	26	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	27	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	28	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	29	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	30	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	31	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	32	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	33	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	34	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	35	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	36	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	37	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	38	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	39	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	40	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	41	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	42	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	43	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	44	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	45	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	46	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	47	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	48	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	49	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	50	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	NA	NA	first	NA	NA	51	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	52	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	NA	NA	second	NA	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	red	thompsy	0	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	green	thompsy	0	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	glab	blue	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	small	thompsy	0	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	blue	thompsy	0	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	big	red	0	NA
