workerid	adjective	quiz_response	relevant_adjective	adj2_subj	text	adj2_disagreement	order_questionnaires	adj1_disagreement	correct_response	adj1_subj	adj1_response	slide_number	predicate2	predicate1	response	adj2_response
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	6	NA	NA	NA	NA
0	jaundy	first	NA	NA	NA	NA	NA	NA	second	NA	NA	7	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	8	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	9	NA	NA	NA	NA
0	jaundy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	10	NA	NA	NA	NA
0	jaundy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	11	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	12	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	13	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	14	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	15	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	16	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	17	NA	NA	NA	NA
0	jaundy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	18	NA	NA	NA	NA
0	jaundy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	19	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	20	NA	NA	NA	NA
0	jaundy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	21	NA	NA	NA	NA
0	jaundy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	22	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	23	NA	NA	NA	NA
0	jaundy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	24	NA	NA	NA	NA
0	jaundy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	25	NA	NA	NA	NA
