workerid	adjective	quiz_response	relevant_adjective	adj2_subj	text	adj2_disagreement	order_questionnaires	adj1_disagreement	correct_response	adj1_subj	adj1_response	slide_number	predicate2	predicate1	response	adj2_response
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	6	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	7	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	8	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	9	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	10	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	11	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	12	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	13	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	14	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	15	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	16	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	17	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	18	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	19	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	20	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	21	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	22	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	23	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	24	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	second	NA	NA	25	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	26	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	27	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	28	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	29	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	30	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	31	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	32	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	33	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	34	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	35	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	36	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	37	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	38	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	first	NA	NA	39	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	40	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	41	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	42	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	43	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	44	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	45	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	46	NA	NA	NA	NA
0	thompsy	first	NA	NA	NA	NA	NA	NA	first	NA	NA	47	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	48	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	49	NA	NA	NA	NA
0	twell	second	NA	NA	NA	NA	NA	NA	second	NA	NA	50	NA	NA	NA	NA
0	thompsy	second	NA	NA	NA	NA	NA	NA	second	NA	NA	51	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	52	NA	NA	NA	NA
0	twell	first	NA	NA	NA	NA	NA	NA	first	NA	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	thompsy	green	0.84	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	red	big	0.92	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	thompsy	small	0.99	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	thompsy	big	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	green	twell	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	twell	small	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	big	twell	0.03	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	big	green	0.1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	red	thompsy	0.96	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	thompsy	twell	0.03	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	thompsy	blue	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66	blue	twell	1	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	big	red	0	NA
0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	twell	red	1	NA
0	NA	NA	twell	NA	My first ship had the same shape as this...	NA	NA	NA	NA	NA	NA	70	thompsy	twell	0.05	NA
0	NA	NA	thompsy	NA	What a nice color. I like flying this...	NA	NA	NA	NA	NA	NA	71	blue	thompsy	0.73	NA
0	NA	NA	red	NA	My friend used to fly this...	NA	NA	NA	NA	NA	NA	72	twell	red	0.12	NA
0	NA	NA	thompsy	NA	I like ships of this type. My favorite one is this...	NA	NA	NA	NA	NA	NA	73	thompsy	blue	0.84	NA
0	NA	NA	twell	NA	I like ships that have this color, like this...	NA	NA	NA	NA	NA	NA	74	twell	red	0.22	NA
0	NA	NA	NONE	NA	I really don&quotechart like ships like this...	NA	NA	NA	NA	NA	NA	75	thompsy	green	0.18	NA
