workerid	noun	sentence	pattern	adjective	slide_number	response_2	article	response_0	response_1
0	crime	This is a favorite one.	This is ARTICLE ADJECTIVE one.	favorite	4	0.05	a	0.06	0.07
0	spirit	That is a speedy one.	That is ARTICLE ADJECTIVE one.	speedy	5	0.1	a	0.29	0.71
0	school	This is thin.	This is ADJECTIVE.	thin	6	0.04	the	0.03	0.03
0	student	This is a Hispanic one.	This is ARTICLE ADJECTIVE one.	Hispanic	7	0.09	a	0.31	0.51
0	line	That is a wooden one.	That is ARTICLE ADJECTIVE one.	wooden	8	0.06	a	0.07	0.03
0	shell	This one is green.	This one is ADJECTIVE.	green	9	0.07	a	0.05	0.05
0	mouth	That one is creamy.	That one is ADJECTIVE.	creamy	10	0.02	a	0.05	0.02
0	bin	It is blonde.	It is ADJECTIVE.	blonde	11	0.09	a	0.26	0.25
0	life	That is the individual one.	That is ARTICLE ADJECTIVE one.	individual	12	0.01	the	0.02	0.06
0	room	That is a senior one.	That is ARTICLE ADJECTIVE one.	senior	13	0.07	a	0.25	0.4
0	truth	This is the pleasant one.	This is ARTICLE ADJECTIVE one.	pleasant	14	0.09	the	0.07	0.73
0	grandfather	This is sad.	This is ADJECTIVE.	sad	15	0.19	a	0.75	0.76
0	reason	This is a spicy one.	This is ARTICLE ADJECTIVE one.	spicy	16	0.07	a	0.5	0.42
0	form	That one is daily.	That one is ADJECTIVE.	daily	17	0.03	a	0.04	0.07
0	spaghetti	This one is last.	This one is ADJECTIVE.	last	18	0.04	a	0.06	0.07
0	labrador	This is new.	This is ADJECTIVE.	new	19	0.1	the	0.04	0.06
0	fish	That is a long one.	That is ARTICLE ADJECTIVE one.	long	20	0.05	a	0.1	0.21
0	level	This is Brazilian.	This is ADJECTIVE.	Brazilian	21	0.04	a	0.05	0.13
0	situation	This is the Vietnamese one.	This is ARTICLE ADJECTIVE one.	Vietnamese	22	0.05	the	0.17	0.21
0	color	It is corduroy.	It is ADJECTIVE.	corduroy	23	0.04	the	0.05	0.04
0	slant	This is a purple one.	This is ARTICLE ADJECTIVE one.	purple	24	0.05	a	0.03	0.05
0	lab	This is the everyday one.	This is ARTICLE ADJECTIVE one.	everyday	25	0.06	the	0.04	0.06
0	list	That one is professional.	That one is ADJECTIVE.	professional	26	0.01	a	0.6	0.62
0	area	This one is old.	This one is ADJECTIVE.	old	27	0.04	an	0.21	0.07
0	hand	It is historical.	It is ADJECTIVE.	historical	28	0.06	the	0.12	0.06
0	teller	That one is mini.	That one is ADJECTIVE.	mini	29	0.05	a	0.06	0.04
0	meat	This is smooth.	This is ADJECTIVE.	smooth	30	0.07	the	0.04	0.04
