workerid	predicate2	predicate1	response	slide_number
0	big	green	0.22	4
0	green	yunt	0.64	5
0	plach	blue	0.33	6
0	small	green	0.24	7
0	small	yunt	0.37	8
0	plach	red	0.76	9
0	plach	green	0.3	10
0	yunt	big	0.36	11
0	small	plach	0.25	12
0	red	yunt	0.18	13
0	big	blue	0.63	14
0	plach	big	0.28	15
0	yunt	plach	0.68	16
0	blue	yunt	0.79	17
1	muic	green	1	4
1	blue	plach	0.71	5
1	red	plach	0.22	6
1	red	big	1	7
1	big	blue	0	8
1	blue	muic	0.91	9
1	big	muic	0	10
1	plach	small	0.93	11
1	plach	big	0.96	12
1	muic	plach	0.03	13
1	red	muic	0.08	14
1	plach	green	0.92	15
1	small	muic	0.04	16
1	green	big	0.97	17
2	scrib	blue	0	4
2	green	scrib	0	5
2	kolch	scrib	1	6
2	green	small	0.95	7
2	kolch	blue	0.05	8
2	kolch	small	0.02	9
2	red	big	0.99	10
2	kolch	green	0.06	11
2	kolch	big	0.97	12
2	kolch	red	0	13
2	scrib	big	0.96	14
2	red	scrib	0.99	15
2	small	scrib	0.04	16
2	green	small	0.99	17
3	green	big	0.93	4
3	small	muic	0.09	5
3	blue	muic	0.95	6
3	green	muic	0.93	7
3	glab	big	0.93	8
3	red	glab	0.02	9
3	glab	small	0.96	10
3	glab	muic	0.97	11
3	muic	big	0.94	12
3	blue	small	0.92	13
3	glab	blue	0.97	14
3	green	glab	0.02	15
3	red	muic	0.03	16
3	green	small	0.95	17
4	big	muic	0.1	4
4	lann	muic	0.72	5
4	big	blue	0.84	6
4	small	muic	0.12	7
4	blue	lann	0.07	8
4	green	big	0.79	9
4	muic	blue	0.14	10
4	blue	small	0.12	11
4	red	muic	0.23	12
4	big	lann	0.16	13
4	lann	green	0.77	14
4	red	lann	0.17	15
4	small	lann	0.05	16
4	green	muic	0	17
5	green	muic	0	4
5	red	muic	0	5
5	blue	scrib	0	6
5	big	red	0	7
5	big	scrib	0	8
5	red	scrib	0	9
5	scrib	green	1	10
5	small	scrib	0	11
5	muic	big	1	12
5	muic	blue	1	13
5	scrib	muic	1	14
5	small	blue	0	15
5	small	muic	0	16
5	red	small	1	17
6	physs	green	0.53	4
6	blue	physs	0.18	5
6	physs	red	0.5	6
6	blue	small	0.98	7
6	big	physs	0.02	8
6	red	big	1	9
6	physs	kolch	0.03	10
6	red	small	0.98	11
6	kolch	blue	0.01	12
6	big	kolch	0.01	13
6	kolch	red	0.07	14
6	green	kolch	0.03	15
6	small	physs	0.02	16
6	kolch	small	0.94	17
7	kolch	broff	0.84	4
7	kolch	red	0.93	5
7	blue	kolch	0	6
7	green	kolch	0	7
7	big	green	0	8
7	broff	big	1	9
7	blue	broff	0	10
7	broff	red	1	11
7	broff	green	1	12
7	small	broff	0	13
7	red	big	1	14
7	small	red	0	15
7	big	kolch	0	16
7	small	kolch	0	17
8	broff	small	0.77	4
8	broff	big	0.77	5
8	red	glab	0.77	6
8	broff	red	0.82	7
8	blue	broff	0.89	8
8	green	glab	0.72	9
8	blue	small	0.94	10
8	glab	broff	0.9	11
8	green	broff	0.79	12
8	glab	big	0.2	13
8	small	glab	0.12	14
8	big	red	0.12	15
8	blue	glab	0.73	16
8	big	red	0.03	17
