"","predicate1","response"
"13","cechedy",0.158235294117647
"118","yafsy",0.164
"39","gwigsy",0.171578947368421
"37","grirpedy",0.176111111111111
"71","physsy",0.182857142857143
"91","spycky",0.2005
"38","gwigs",0.207272727272727
"25","dwakey",0.212307692307692
"83","slalpsy",0.215294117647059
"117","twawlsy",0.238666666666667
"10","brirky",0.247333333333333
"109","yafs",0.26375
"36","grirped",0.267692307692308
"32","ghoice",0.29047619047619
"6","blefy",0.295
"40","hafs",0.306666666666667
"111","yunty",0.3075
"50","joids",0.309411764705882
"68","phoys",0.312380952380952
"77","rhould",0.315238095238095
"17","crefy",0.321764705882353
"44","irv",0.321904761904762
"24","dwake",0.324545454545455
"33","ghoicey",0.326153846153846
"9","brirk",0.32625
"51","joidsy",0.327142857142857
"23","duiltsy",0.33
"73","praife",0.33
"41","hafsy",0.331875
"94","therv",0.346470588235294
"15","clouy",0.346923076923077
"69","phoysy",0.3475
"61","milbedy",0.349333333333333
"82","slalps",0.356428571428571
"101","trafesy",0.3575
"2","annsy",0.358823529411765
"12","ceched",0.373333333333333
"62","muic",0.389
"59","lisedy",0.395
"106","twawls",0.396666666666667
"5","blef",0.4
"27","fonns",0.401875
"89","spunesy",0.413076923076923
"65","niegey",0.419375
"49","jitey",0.421538461538462
"87","spraivedy",0.43
"70","physs",0.432857142857143
"84","snurts",0.435
"93","squalfy",0.441875
"11","broffy",0.444
"90","spyck",0.445
"22","duilts",0.4475
"4","bamny",0.45
"20","cuint",0.458823529411765
"43","heanedy",0.458846153846154
"67","olmy",0.464444444444444
"85","snurtsy",0.466666666666667
"74","praifey",0.472941176470588
"28","fonnsy",0.473333333333333
"110","yunt",0.475909090909091
"100","trafes",0.476
"55","kolchy",0.481666666666667
"14","clou",0.485
"16","cref",0.485714285714286
"78","rhouldy",0.486153846153846
"98","toch",0.488260869565217
"21","cuinty",0.491666666666667
"105","twady",0.510625
"88","spunes",0.513846153846154
"63","muicy",0.515238095238095
"3","bamn",0.52
"1","anns",0.524166666666667
"113","ficty",0.526923076923077
"52","juints",0.530666666666667
"114","gelty",0.543636363636364
"96","thomps",0.544285714285714
"95","thervy",0.54952380952381
"54","kolch",0.551052631578947
"53","juintsy",0.552727272727273
"72","plachy",0.553461538461538
"116","scorcs",0.555294117647059
"48","jite",0.556153846153846
"35","glaby",0.557222222222222
"60","milbed",0.57125
"46","jaund",0.574444444444444
"79","scorcsy",0.578181818181818
"99","tochy",0.585454545454545
"75","preathe",0.586
"108","twelly",0.591176470588235
"56","lann",0.591538461538462
"8","bramey",0.5925
"92","squalf",0.593333333333333
"57","lanny",0.596470588235294
"104","twad",0.605652173913043
"81","scriby",0.615714285714286
"30","fruithy",0.619473684210526
"45","irvy",0.633333333333333
"112","broff",0.634615384615385
"58","lised",0.637777777777778
"76","preathey",0.640625
"115","plach",0.642
"103","truncey",0.644545454545455
"26","fict",0.648947368421053
"66","olm",0.651666666666667
"86","spraived",0.655333333333333
"64","niege",0.659090909090909
"47","jaundy",0.659473684210526
"97","thompsy",0.676363636363636
"19","croochy",0.677272727272727
"7","brame",0.678461538461538
"31","gelt",0.68
"42","heaned",0.707058823529412
"29","fruith",0.7225
"80","scrib",0.7325
"18","crooch",0.736470588235294
"102","trunce",0.748125
"34","glab",0.789090909090909
"107","twell",0.878333333333333
