workerid	language	enjoyment	gender	age	suggested_pay	comments	adjective1	asses	adjective2	condition
0	english	2	Male	30	5.00	interesting hit	glab	Yes	broff	0
1	English	2	Male	24	3.00	Even though I&quotecharm not sure of the purpose of this study, I thought it was really enjoyable as I like working with the English language.	yunt	Yes	scrib	0
2	english	1	Male	39	4.00		yunt	No	plach	0
3		1	Female	36	3.50		lann	Yes	yunt	0
4	Englsish	2	Male	32	3	While I believe the hit itself is worth $3, I do appreciate the extra 60 cents which puts your HIT above average in terms of pay. I would recommend it to others based on this, rather than telling them not to do it or that perhaps their time is best spent elsewhere.

I felt like more was supposed to happen. I have done similar language HITs, and generally this is just the intro to learning the language. There are many more items and conjugations which we are introduced to, but I suppose that is not within the scope of your study.	plach	Yes	kolch	0
5	English	2	Female	38			yunt	Yes	muic	0
6	English	2	Female	23	3.60		plach	Yes	yunt	0
7	English	2	Male	34	3.60	It made sense to me.  Worked smoothly	glab	Yes	scrib	0
8	english	2	Male	37	4.00	i wasnt totally sure what glab ment but i was pretty convinced of what lann ment	glab	Yes	lann	0
