workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	adj1_response	slide_number	predicate2	predicate1	correct	adj2_response
0	glab	second	NA	NA	NA	NA	second	NA	6	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	7	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	8	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	9	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	10	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	11	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	12	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	13	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	14	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	second	NA	15	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	16	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	17	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	18	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	19	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	20	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	21	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	22	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	23	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	24	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	25	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	26	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	27	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	28	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	29	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	30	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	31	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	32	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	33	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	34	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	35	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	36	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	37	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	38	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	39	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	40	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	41	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	42	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	43	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	44	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	45	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	46	NA	NA	NA	NA
0	glab	first	NA	NA	NA	NA	first	NA	47	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	48	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	49	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	50	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	51	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	52	NA	NA	NA	NA
0	glab	second	NA	NA	NA	NA	second	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	broff glab blue spaceship 	NA	NA	NA	55	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship  	NA	NA	NA	56	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship  	NA	NA	NA	57	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship  	NA	NA	NA	58	NA	NA	correct	NA
0	NA	NA	NA	NA	glab blue spaceship  	NA	NA	NA	59	NA	NA	correct	NA
0	NA	NA	NA	NA	broff glab red spaceship 	NA	NA	NA	60	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue glab spaceship 	NA	NA	NA	61	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue broff glab spaceship	NA	NA	NA	62	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship 	NA	NA	NA	63	NA	NA	correct	NA
0	NA	NA	NA	NA	the green glab spaceship 	NA	NA	NA	64	NA	NA	correct	NA
0	NA	NA	NA	NA	the green glab broff spaceship	NA	NA	NA	65	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue spaceship  	NA	NA	NA	66	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship  	NA	NA	NA	67	NA	NA	correct	NA
0	NA	NA	NA	NA	the green spaceship  	NA	NA	NA	68	NA	NA	correct	NA
0	NA	NA	NA	NA	the green glab broff spaceship	NA	NA	NA	69	NA	NA	correct	NA
0	NA	NA	NA	NA	the glab broff spaceship 	NA	NA	NA	70	NA	NA	correct	NA
0	NA	NA	NA	NA	the green glab broff spaceship	NA	NA	NA	71	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue glab broff spaceship	NA	NA	NA	72	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship 	NA	NA	NA	73	NA	NA	correct	NA
0	NA	NA	NA	NA	the green broff spaceship 	NA	NA	NA	74	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship 	NA	NA	NA	75	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab broff spaceship	NA	NA	NA	76	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab broff spaceship	NA	NA	NA	77	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship 	NA	NA	NA	78	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab broff spaceship	NA	NA	NA	79	NA	NA	correct	NA
0	NA	NA	NA	NA	the red broff spaceship 	NA	NA	NA	80	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue broff glab spaceship	NA	NA	NA	82	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship	NA	NA	NA	83	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship	NA	NA	NA	84	NA	NA	correct	NA
0	NA	NA	NA	NA	the green glab spaceship	NA	NA	NA	85	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship	NA	NA	NA	86	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship	NA	NA	NA	87	NA	NA	correct	NA
0	NA	NA	NA	NA	the red broff spaceship	NA	NA	NA	88	NA	NA	correct	NA
0	NA	NA	NA	NA	the green broff spaceship	NA	NA	NA	89	NA	NA	correct	NA
0	NA	NA	NA	NA	the green broff spaceship	NA	NA	NA	90	NA	NA	correct	NA
0	NA	NA	NA	NA	the red broff spaceship	NA	NA	NA	91	NA	NA	correct	NA
0	NA	NA	NA	NA	the green broff spaceship	NA	NA	NA	92	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue broff spaceship	NA	NA	NA	93	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue spaceship	NA	NA	NA	94	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship	NA	NA	NA	95	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship	NA	NA	NA	96	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue glab spaceship	NA	NA	NA	97	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship	NA	NA	NA	98	NA	NA	correct	NA
0	NA	NA	NA	NA	the green broff spaceship	NA	NA	NA	99	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship	NA	NA	NA	100	NA	NA	correct	NA
0	NA	NA	NA	NA	the red glab spaceship	NA	NA	NA	101	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship	NA	NA	NA	102	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship	NA	NA	NA	103	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue glab spaceship	NA	NA	NA	104	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff glab spaceship	NA	NA	NA	105	NA	NA	correct	NA
0	NA	NA	NA	NA	the green spaceship	NA	NA	NA	106	NA	NA	correct	NA
0	NA	NA	NA	NA	the blue broff spaceship	NA	NA	NA	107	NA	NA	correct	NA
0	NA	NA	NA	NA	the broff spaceship	NA	NA	NA	109	NA	NA	correct	NA
0	NA	NA	green	I like ships that have the same color as I have, like this...	NA	0.79	NA	NA	136	broff	green	NA	NA
0	NA	NA	broff	Humans think all our ships look like rockets, like this...	NA	0.12	NA	NA	137	blue	broff	NA	NA
0	NA	NA	NONE	My friend used to fly this...	NA	0.89	NA	NA	138	broff	green	NA	NA
