workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	adj1_response	slide_number	predicate2	predicate1	correct	adj2_response
0	kolch	first	NA	NA	NA	NA	first	NA	6	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	7	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	8	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	9	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	10	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	11	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	12	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	13	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	14	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	15	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	16	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	17	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	18	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	19	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	20	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	21	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	22	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	23	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	24	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	25	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	26	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	27	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	28	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	29	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	30	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	31	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	32	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	33	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	34	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	35	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	36	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	37	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	38	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	39	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	40	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	41	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	42	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	43	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	44	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	45	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	second	NA	46	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	47	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	48	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	49	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	50	NA	NA	NA	NA
0	broff	second	NA	NA	NA	NA	first	NA	51	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	52	NA	NA	NA	NA
0	broff	first	NA	NA	NA	NA	first	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	kolch blue   	NA	NA	NA	55	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch blue spaceship broff 	NA	NA	NA	56	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch red broff spaceship 	NA	NA	NA	57	NA	NA	correct	NA
0	NA	NA	NA	NA	broff blue spaceship  	NA	NA	NA	58	NA	NA	correct	NA
0	NA	NA	NA	NA	green spaceship   	NA	NA	NA	59	NA	NA	underspecified	NA
0	NA	NA	NA	NA	the broff kolch  	NA	NA	NA	60	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch   	NA	NA	NA	61	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch   	NA	NA	NA	62	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch    	NA	NA	NA	63	NA	NA	correct	NA
0	NA	NA	NA	NA	red kolch   	NA	NA	NA	64	NA	NA	correct	NA
0	NA	NA	NA	NA	red kolch   	NA	NA	NA	65	NA	NA	correct	NA
0	NA	NA	NA	NA	red kolch   	NA	NA	NA	66	NA	NA	correct	NA
0	NA	NA	NA	NA	green kolch   	NA	NA	NA	67	NA	NA	correct	NA
0	NA	NA	NA	NA	red kolch   	NA	NA	NA	68	NA	NA	correct	NA
0	NA	NA	NA	NA	green broff   	NA	NA	NA	69	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch   	NA	NA	NA	70	NA	NA	correct	NA
0	NA	NA	NA	NA	blue broff   	NA	NA	NA	71	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch blue  	NA	NA	NA	72	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch green  	NA	NA	NA	73	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch green   	NA	NA	NA	74	NA	NA	correct	NA
0	NA	NA	NA	NA	broff red   	NA	NA	NA	75	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch   	NA	NA	NA	76	NA	NA	correct	NA
0	NA	NA	NA	NA	broff red   	NA	NA	NA	77	NA	NA	correct	NA
0	NA	NA	NA	NA	blue broff   	NA	NA	NA	78	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch   	NA	NA	NA	79	NA	NA	correct	NA
0	NA	NA	NA	NA	green kolch   	NA	NA	NA	80	NA	NA	correct	NA
0	NA	NA	NA	NA	blue broff	NA	NA	NA	82	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch	NA	NA	NA	83	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch	NA	NA	NA	84	NA	NA	correct	NA
0	NA	NA	NA	NA	broff green	NA	NA	NA	85	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch	NA	NA	NA	86	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch	NA	NA	NA	87	NA	NA	correct	NA
0	NA	NA	NA	NA	broff kolch red	NA	NA	NA	88	NA	NA	correct	NA
0	NA	NA	NA	NA	kolch	NA	NA	NA	89	NA	NA	correct	NA
0	NA	NA	NA	NA	broff green kolch	NA	NA	NA	90	NA	NA	correct	NA
0	NA	NA	NA	NA	broff blue	NA	NA	NA	91	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch	NA	NA	NA	92	NA	NA	correct	NA
