workerid	adjective	quiz_response	relevant_adjective	text	enteredText	response	correct_response	adj1_response	slide_number	predicate2	predicate1	correct	adj2_response
0	muic	first	NA	NA	NA	NA	first	NA	6	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	7	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	8	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	9	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	10	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	11	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	12	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	13	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	14	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	15	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	16	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	17	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	18	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	19	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	20	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	21	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	22	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	23	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	24	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	25	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	26	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	27	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	28	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	29	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	30	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	31	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	32	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	33	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	34	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	35	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	36	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	37	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	38	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	39	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	40	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	41	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	42	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	43	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	44	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	45	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	46	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	47	NA	NA	NA	NA
0	kolch	second	NA	NA	NA	NA	second	NA	48	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	49	NA	NA	NA	NA
0	kolch	first	NA	NA	NA	NA	first	NA	50	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	51	NA	NA	NA	NA
0	muic	first	NA	NA	NA	NA	first	NA	52	NA	NA	NA	NA
0	muic	second	NA	NA	NA	NA	second	NA	53	NA	NA	NA	NA
0	NA	NA	NA	NA	green    	NA	NA	NA	55	NA	NA	correct	NA
0	NA	NA	NA	NA	red muic   	NA	NA	NA	56	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch   	NA	NA	NA	57	NA	NA	correct	NA
0	NA	NA	NA	NA	muic red   	NA	NA	NA	58	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch   	NA	NA	NA	59	NA	NA	correct	NA
0	NA	NA	NA	NA	blue muic   	NA	NA	NA	60	NA	NA	correct	NA
0	NA	NA	NA	NA	red muic   	NA	NA	NA	61	NA	NA	correct	NA
0	NA	NA	NA	NA	blue muic kolch  	NA	NA	NA	62	NA	NA	correct	NA
0	NA	NA	NA	NA	blue kolch muic  	NA	NA	NA	63	NA	NA	correct	NA
0	NA	NA	NA	NA	red muic   	NA	NA	NA	64	NA	NA	correct	NA
0	NA	NA	NA	NA	red    	NA	NA	NA	65	NA	NA	inconsistent	NA
0	NA	NA	NA	NA	blue muic   	NA	NA	NA	66	NA	NA	correct	NA
0	NA	NA	NA	NA	green muic kolch  	NA	NA	NA	67	NA	NA	correct	NA
0	NA	NA	NA	NA	blue muic   	NA	NA	NA	68	NA	NA	correct	NA
0	NA	NA	NA	NA	green kolch   	NA	NA	NA	69	NA	NA	correct	NA
0	NA	NA	NA	NA	red kolch   	NA	NA	NA	70	NA	NA	correct	NA
